#topo1 ((O,P3),P2,P1);
#topo2 ((O,P2),P3,P1);
#topo3 ((O,P1),P3,P2);
topo1	topo2	topo3
252575	120725	17325
174550	125225	90850
123125	192500	75000
165696	169352	55577
82725	125300	182600
114275	114045	162305
155065	114658	120902
79399	75178	236048
149495	172265	68865
239371	18756	132498
165348	162626	62651
340075	0	50550
99585	179417	111623
170212	114868	105545
115982	200086	74557
264025	52650	73950
101595	166060	122970
263070	54940	72615
158775	130350	101500
183445	126380	80800
296230	79685	14710
223859	75415	91351
97775	51984	240866
183155	59152	148318
121900	123900	144825
199470	74240	116915
110435	183860	96330
160549	162378	67698
114765	152955	122905
214640	98269	77716
227650	109350	53625
176922	120792	92911
317725	2700	70200
61350	221200	108075
132982	152194	105449
197675	88575	104375
204335	57320	128970
206641	95642	88342
154550	74450	161625
85644	214537	90444
113185	189260	88180
174200	101050	115375
267625	61100	61900
206850	92400	91375
146860	124865	118900
252100	80725	57800
260897	69214	60514
209244	130082	51299
173314	133710	83601
124348	165542	100735
235690	92970	61965
181180	82460	126985
291203	69386	30036
132985	74295	183345
180859	104623	105143
136725	43200	210700
105813	127224	157588
145499	102464	142662
140536	107582	142507
70114	100462	220049
95406	168643	126576
197000	57750	135875
86761	77511	226353
54198	56197	280230
108575	86200	195850
138100	188775	63750
116070	106095	168460
258375	115250	17000
235475	91900	63250
84000	44500	262125
300473	58816	31336
135445	27440	227740
180450	96750	113425
82425	58225	249975
172000	97075	121550
82800	80250	227575
156511	109827	124287
111900	213600	65125
176704	114507	99414
305815	38580	46230
175328	106161	109136
25498	224822	140305
142972	211839	35814
101709	216026	72890
95350	189250	106025
225800	88350	76475
95400	141400	153825
71287	79636	239702
171818	92004	126803
128403	95733	166489
88831	200047	101747
124190	146665	119770
24250	152000	214375
195430	70155	125040
125875	152250	112500
157460	148105	85060
132080	145731	112814
213919	62578	114128
206651	104282	79692
118825	99354	172446
133007	130460	127158
140855	49420	200350
155900	69225	165500
183525	84600	122500
240725	82200	67700
146990	78590	165045
251017	82454	57154
246880	89915	53830
154525	154225	81875
250920	86815	52890
141400	122225	127000
107400	137575	145650
152634	119708	118283
143575	123564	123486
58500	255975	76150
195000	22000	173625
159962	115531	115132
160997	113048	116580
161200	176700	52725
87500	134000	169125
171925	105600	113100
144188	136856	109581
110065	170920	109640
172850	130275	87500
116132	118902	155591
176150	111844	102631
187645	102136	100844
243500	101125	46000
135805	92185	162635
171610	156604	62411
153256	136313	101056
141235	141575	107815
168476	131195	90954
240203	70136	80286
154685	171320	64620
177590	122705	90330
245333	73800	71492
116175	220000	54450
258375	95550	36700
144535	122660	123430
95043	70986	224596
221388	44534	124703
282876	59587	48162
188620	130440	71565
234400	61725	94500
226805	64180	99640
174440	64907	151278
275500	35575	79550
111375	124200	155050
130383	115262	144980
113188	41349	236088
123530	129235	137860
183275	111650	95700
111270	189660	89695
270212	53437	66976
192163	112940	85522
301600	38400	50625
162184	118787	109654
81188	137799	171638
193520	80045	117060
116881	98776	174968
161469	96452	132704
183000	113875	93750
116125	135750	138750
260677	62549	67399
244375	35500	110750
130929	137668	122028
172300	84490	133835
168025	36675	185925
257550	120400	12675
104800	129850	155975
187687	90252	112686
127612	70377	192636
146975	192700	50950
105723	72401	212501
160200	112750	117675
277725	72500	40400
171705	157205	61715
154825	132800	103000
218990	62251	109384
294695	49840	46090
244690	73380	72555
164009	86593	140023
111479	152092	127054
161047	91402	138176
234756	93718	62151
144032	101684	144909
142500	228250	19875
160575	68800	161250
205850	148200	36575
178825	121650	90150
73740	138780	178105
138383	127747	124495
84160	25845	280620
177100	108975	104550
137550	136950	116125
119255	147635	123735
125027	185844	79754
247125	58325	85175
198433	81696	110496
67025	29950	293650
216875	75300	98450
117600	162450	110575
162425	126800	101400
211636	57356	121633
156975	71850	161800
176800	97350	116475
90430	195773	104422
58606	267616	64403
217000	103125	70500
303527	59174	27924
193338	92691	104596
153000	220425	17200
390625	0	0
221867	86058	82700
208250	122024	60351
231336	113217	46072
159026	112044	119555
256250	67500	66875
93368	66739	230518
202725	135150	52750
205605	106105	78915
99014	154534	137077
139556	179013	72056
227025	91475	72125
120155	155940	114530
177544	141777	71304
113022	51921	225682
288550	62275	39800
206250	16875	167500
158308	123958	108359
137845	122205	130575
237175	72200	81250
227008	108826	54791
178200	96715	115710
99744	215996	74885
274375	32850	83400
146975	191950	51700
281250	49450	59925
203100	91900	95625
172050	122625	95950
287640	79290	23695
85006	183833	121786
363425	7500	19700
246875	56250	87500
174991	134862	80772
152855	102060	135710
145375	137600	107650
166975	83325	140325
154400	126225	110000
241500	25350	123775
88962	246751	54912
217998	126876	45751
152300	111350	126975
135883	136475	118267
184987	84694	120944
53105	172680	164840
157415	77140	156070
350712	7419	32494
227755	60360	102510
137604	200403	52618
98481	131165	160979
154458	125715	110452
274375	53050	63200
72612	65752	252261
126775	147200	116650
156025	111550	123050
179157	147290	64178
188325	57175	145125
110509	164982	115134
192950	153675	44000
148270	153765	88590
163500	112225	114900
200345	132490	57790
171875	160000	58750
155370	76315	158940
211290	71055	108280
103420	70630	216575
94817	215592	80216
163241	122507	104877
239750	92625	58250
215625	115400	59600
137670	184760	68195
234280	84140	72205
157010	141360	92255
171770	131820	87035
231335	80820	78470
127835	135480	127310
90400	219500	80725
107825	262675	20125
208075	20850	161700
224375	4275	161975
258035	38430	94160
153352	111007	126266
165701	97322	127602
156625	144000	90000
85125	205040	100460
111950	127400	151275
250555	56060	84010
143891	106741	139993
83919	218744	87962
93181	146035	151409
276850	62025	51750
175165	124572	90888
207365	47780	135480
138010	99662	152953
137225	156500	96900
156866	62142	171617
206222	114182	70221
158137	128216	104272
85075	106100	199450
271200	60265	59160
131700	179025	79900
139668	135206	115751
224925	100600	65100
92475	135850	162300
141360	128080	121185
196625	43675	150325
96701	140588	153336
140186	94460	155979
207756	127913	54956
303525	47475	39625
125937	135320	129368
129825	164950	95850
220402	87372	82851
154525	122500	113600
183470	133315	73840
196875	96250	97500
151885	92605	146135
141525	135225	113875
115917	142941	131767
152675	87250	150700
302575	51392	36658
203669	105274	81682
152045	123446	115134
177400	101525	111700
336805	26910	26910
169722	186959	33944
272585	81720	36320
143014	35550	212061
102469	158246	129910
240277	80099	70249
316500	74125	0
216002	113399	61224
168754	136238	85633
221875	150375	18375
360065	20180	10380
72839	162826	154960
128015	158130	104480
77725	261025	51875
212750	10800	167075
167115	95930	127580
160138	150024	80463
159936	118112	112577
285000	56875	48750
171013	147882	71730
133576	75303	181746
146638	121436	122551
170125	86808	133692
135357	134242	121026
135575	164723	90327
107412	220001	63212
69600	218425	102600
128800	131200	130625
298375	54350	37900
116984	177582	96059
100928	197590	92107
222101	120998	47526
175130	99415	116080
156905	155285	78435
154075	123150	113400
200600	99025	91000
159300	129175	102150
127650	85450	177525
173300	107050	110275
182215	94240	114170
182975	98100	109550
141341	177968	71316
155005	97560	138060
337473	30976	22176
242677	71724	76224
128085	120010	142530
148500	108625	133500
328975	26550	35100
133050	138450	119125
151075	110400	129150
138981	180619	71025
121032	69434	200159
140100	110775	139750
174073	83124	133428
118950	128068	143607
195665	67730	127230
134122	120164	136339
115088	150255	125282
270445	65290	54890
185395	154590	50640
73055	163630	153940
165550	93550	131525
360350	21700	8575
107947	141921	140757
151615	195885	43125
73334	206222	111069
272327	66059	52239
135112	96757	158756
190146	74699	125780
139475	140775	110375
153811	109746	127068
291673	49476	49476
171150	118475	101000
