#topo1 ((O,P3),P2,P1);
#topo2 ((O,P2),P3,P1);
#topo3 ((O,P1),P3,P2);
topo1	topo2	topo3
160568	90691	139366
359375	31250	0
162725	97400	130500
78100	254300	58225
125275	45650	219700
280775	100050	9800
102550	189925	98150
152426	114404	123795
177019	107206	106400
152516	147282	90827
122291	93231	175103
132735	165370	92520
242400	62600	85625
175056	81381	134188
149125	78750	162750
188543	27206	174876
190675	98600	101350
25625	9350	355650
122575	139680	128370
196250	93750	100625
56250	204000	130375
97050	241750	51825
265275	121575	3775
179054	115690	95881
148025	91880	150720
54725	105560	230340
159513	107871	123241
130100	111375	149150
243945	86730	59950
242105	101610	46910
181625	101000	108000
157434	118078	115113
81770	142080	166775
176175	100825	113625
206765	84255	99605
162585	165130	62910
48400	33850	308375
178585	110745	101295
250000	46875	93750
331000	31100	28525
130225	136400	124000
81165	186920	122540
289200	61625	39800
173906	77331	139388
245471	86356	58798
166800	172550	51275
208350	72300	109975
217500	53650	119475
145000	166500	79125
157475	131540	101610
172633	161296	56696
345275	27500	17850
134875	235025	20725
271600	53100	65925
197145	77084	116396
246000	64675	79950
141900	145475	103250
219905	78650	92070
123050	156975	110600
340975	8550	41100
275400	90175	25050
147623	141440	101562
194515	70520	125590
193455	87710	109460
169376	118742	102507
324300	61600	4725
146100	172920	71605
233275	37350	120000
132693	138789	119143
180250	30550	179825
102850	102950	184825
88300	135550	166775
137150	198875	54600
240625	94500	55500
164306	121120	105199
168362	131831	90432
175000	99925	115700
86931	187293	116401
165320	80838	144467
96975	215201	78449
204875	121400	64350
190625	100500	99500
133890	121255	135480
113115	155540	121970
193825	133800	63000
179932	90234	120459
282801	40287	67537
138882	106431	145312
317950	36000	36675
196250	89375	105000
246075	76150	68400
111329	56552	222744
197400	138150	55075
193870	78020	118735
92375	211650	86600
164520	145565	80540
288225	50925	51475
205011	104932	80682
203675	95050	91900
106062	130955	153608
111775	199100	79750
235840	72780	82005
118225	85200	187200
306875	51500	32250
390625	0	0
207875	113750	69000
186965	75620	128040
216819	93612	80194
180600	113550	96475
93250	81250	216125
153391	113100	124134
116850	133950	139825
164540	107770	118315
348125	22500	20000
356125	28500	6000
141226	156391	93008
377875	12000	750
311555	43310	35760
116800	176350	97475
206050	132750	51825
122990	195185	72450
137025	233000	20600
297686	76265	16674
330925	26375	33325
169375	132075	89175
370625	20000	0
168375	59800	162450
177895	147090	65640
133961	99972	156692
227050	84825	78750
145800	141750	103075
145025	159560	86040
