T1,T2,T3
0.3744,0.2708,0.3548
0.295,0.263,0.442
0.2342,0.2902,0.4756
0.2334,0.4234,0.3432
0.2628,0.4366,0.3006
0.2102,0.3406,0.4492
0.2004,0.4914,0.3082
0.142,0.552,0.306
0.2504,0.4344,0.3152
0.2132,0.4358,0.351
0.1772,0.352,0.4708
0.4238,0.3314,0.2448
0.257,0.453,0.29
0.2076,0.3068,0.4856
0.2914,0.2674,0.4412
0.2636,0.3776,0.3588
0.36,0.2688,0.3712
0.4502,0.1554,0.3944
0.51,0.144,0.346
0.475,0.117,0.408
0.362,0.149,0.489
0.7284,0.0348,0.2368
0.5701,0.2332,0.1967
0.394,0.334,0.272
0.4284,0.3012,0.2704
0.4004,0.3168,0.2828
0.3712,0.3178,0.311
0.3718,0.3932,0.235
0.386,0.3278,0.2862
0.4446,0.2482,0.3072
0.4368,0.2004,0.3628
0.4602,0.2656,0.2742
0.4236,0.2828,0.2936
0.377,0.3244,0.2986
0.215,0.4335,0.3515
0.25,0.381,0.369
0.29,0.205,0.505
0.206,0.14,0.654
0.2194,0.143,0.6376
0.3208,0.2318,0.4474
0.3291,0.2213,0.4496
0.4748,0.2402,0.285
0.5523,0.2138,0.2339
0.4024,0.3354,0.2622
0.3954,0.3197,0.2849
0.3325,0.4225,0.245
0.3815,0.3795,0.239
0.3635,0.3335,0.303
0.314,0.449,0.237
0.209,0.508,0.283
0.234,0.437,0.329
0.3785,0.329,0.2925
0.4251,0.2605,0.3144
0.3932,0.2814,0.3254
0.4861,0.2203,0.2936
0.4547,0.2465,0.2988
0.4056,0.3093,0.2851
0.44830000000000003,0.27440000000000003,0.27730000000000005
0.4454,0.2568,0.2978
0.4172,0.329,0.2538
0.4965,0.215,0.2885
0.3878,0.2732,0.339
0.3408,0.3528,0.3064
0.3328,0.3166,0.3506
0.3584,0.312,0.3296
0.2832,0.3488,0.368
0.3088,0.334,0.3572
0.27,0.3,0.43
0.2732,0.2312,0.4956
0.352,0.187,0.461
0.3704,0.2708,0.3588
0.46,0.2865,0.2535
0.525,0.41,0.065
0.6738,0.1451,0.1811
0.7714,0.1248,0.1038
0.4091,0.2668,0.3241
0.3172,0.2382,0.4446
0.45730000000000004,0.18460000000000001,0.35810000000000003
0.4204,0.1792,0.4004
0.3202,0.286,0.3938
0.3546,0.2152,0.4302
0.3458,0.2024,0.4518
0.3336,0.2424,0.424
0.372,0.252,0.376
0.4566,0.3369,0.2065
0.3225,0.338,0.3395
0.2955,0.252,0.4525
0.313,0.244,0.443
0.22,0.386,0.394
0.274,0.397,0.329
0.256,0.348,0.396
