sample_size,method,reg,numItermax,stopThr,sinkhorn_kl,exact_kl,error,rel_error,time
1000,sinkhorn,0.005,500,1e-06,0.047578456051323804,0.04329043455718744,0.004288021494136367,9.90524012521014,0.9566128253936768
1000,sinkhorn,0.005,500,1e-07,0.04757999664236539,0.04329043455718744,0.004289562085177952,9.908798858351407,1.521005630493164
1000,sinkhorn,0.005,500,1e-08,0.047580161707132314,0.04329043455718744,0.004289727149944876,9.909180154516745,1.5039658546447754
1000,sinkhorn,0.005,500,1e-09,0.04758018016370984,0.04329043455718744,0.004289745606522399,9.909222788825483,1.435743808746338
1000,sinkhorn,0.005,1000,1e-06,0.047578456051323804,0.04329043455718744,0.004288021494136367,9.90524012521014,0.985201358795166
1000,sinkhorn,0.005,1000,1e-07,0.04757999664236539,0.04329043455718744,0.004289562085177952,9.908798858351407,1.3113300800323486
1000,sinkhorn,0.005,1000,1e-08,0.047580161707132314,0.04329043455718744,0.004289727149944876,9.909180154516745,1.3402187824249268
1000,sinkhorn,0.005,1000,1e-09,0.04758018016370984,0.04329043455718744,0.004289745606522399,9.909222788825483,1.4447221755981445
1000,sinkhorn,0.005,2000,1e-06,0.047578456051323804,0.04329043455718744,0.004288021494136367,9.90524012521014,1.0855276584625244
1000,sinkhorn,0.005,2000,1e-07,0.04757999664236539,0.04329043455718744,0.004289562085177952,9.908798858351407,1.914262294769287
1000,sinkhorn,0.005,2000,1e-08,0.047580161707132314,0.04329043455718744,0.004289727149944876,9.909180154516745,1.5188732147216797
1000,sinkhorn,0.005,2000,1e-09,0.04758018016370984,0.04329043455718744,0.004289745606522399,9.909222788825483,1.6501424312591553
