#topo1 ((O,P3),P2,P1);
#topo2 ((O,P2),P3,P1);
#topo3 ((O,P1),P3,P2);
topo1	topo2	topo3
221875	131250	37500
240000	67500	83125
208475	151800	30350
207500	33525	149600
307375	81000	2250
187125	134650	68850
245580	34585	110460
268625	38750	83250
314178	39411	37036
190500	157625	42500
246875	56250	87500
136875	84375	169375
201600	108300	80725
195000	188125	7500
171500	159000	60125
50425	267886	72314
206875	41750	142000
0	11250	379375
188375	90000	112250
94960	208770	86895
294975	45050	50600
390625	0	0
195059	123284	72282
249569	97722	43334
169700	128025	92900
9375	381250	0
120625	105000	165000
301929	74198	14498
164830	150055	75740
390625	0	0
16275	113600	260750
193750	112500	84375
312500	0	78125
214950	92600	83075
208685	92184	89756
166075	120000	104550
320625	70000	0
194100	90000	106525
308125	41250	41250
258575	6650	125400
387275	1050	2300
385000	5625	0
218925	99000	72700
105000	41875	243750
386250	4375	0
375000	15625	0
376250	14375	0
248125	0	142500
27500	218750	144375
228465	116815	45345
390625	0	0
286150	17500	86975
148525	128800	113300
238375	93450	58800
201875	102500	86250
185375	67250	138000
136185	25520	228920
285055	37960	67610
271522	21722	97381
212820	46965	130840
390625	0	0
147800	171125	71700
68750	103125	218750
254651	70312	65662
85700	292450	12475
257950	53550	79125
98275	86100	206250
312500	78125	0
309375	31250	50000
157148	137279	96198
345600	11400	33625
122500	105225	162900
100600	278925	11100
283095	64160	43370
91400	70125	229100
210275	91500	88850
122975	163325	104325
267025	72975	50625
241900	6825	141900
218085	125595	46945
247050	75850	67725
215375	165000	10250
200056	115761	74808
121225	264600	4800
75300	190925	124400
390625	0	0
145625	120000	125000
352900	7575	30150
321875	43750	25000
198050	102500	90075
175900	61300	153425
182650	118500	89475
230904	53198	106523
253125	108100	29400
167975	140150	82500
304293	63916	22416
281075	50400	59150
192625	136750	61250
170915	43905	175805
130625	19950	240050
238025	150800	1800
204910	77445	108270
359375	2200	29050
268512	1812	120301
123550	65075	202000
370625	20000	0
159150	192600	38875
117205	200805	72615
17500	27500	345625
72975	218375	99275
223125	60000	107500
310975	46575	33075
159875	95725	135025
163282	144173	83170
306350	58800	25475
198750	78750	113125
115625	250750	24250
296875	86875	6875
274250	87000	29375
250275	77350	63000
152375	159500	78750
197200	138800	54625
217500	150000	23125
281250	109375	0
307000	34375	49250
259585	51970	79070
120425	123425	146775
295225	70200	25200
331625	43200	15800
390625	0	0
58950	35100	296575
236250	47500	106875
130500	15750	244375
266050	53700	70875
169875	187500	33250
163136	121968	105521
193125	183750	13750
67500	229075	94050
129825	0	260800
296875	0	93750
203750	70000	116875
135625	180600	74400
175200	60450	154975
205320	184960	345
57900	292825	39900
84400	194825	111400
211375	28125	151125
50200	338550	1875
390625	0	0
156250	174000	60375
281620	87510	21495
117025	126675	146925
323550	28925	38150
57025	220800	112800
115475	235775	39375
0	234375	156250
390625	0	0
292176	10776	87673
158500	159900	72225
60000	203125	127500
88125	262500	40000
297625	43250	49750
232150	60975	97500
390625	0	0
310625	75625	4375
211935	98905	79785
123794	30030	236801
110000	239625	41000
135800	145100	109725
218969	95728	75928
307840	40380	42405
167809	49602	173214
189750	155875	45000
3750	164000	222875
97227	163924	129474
319250	71375	0
285450	97125	8050
238180	57685	94760
98125	15575	276925
123873	222626	44126
237100	56325	97200
99030	123140	168455
274056	92797	23772
328125	0	62500
224425	121550	44650
174050	115175	101400
267325	64350	58950
136950	74850	178825
186375	154625	49625
84875	21875	283875
180300	136800	73525
212875	128250	49500
182575	60000	148050
306325	8400	75900
246250	0	144375
229000	11625	150000
199625	87250	103750
328125	0	62500
139026	159256	92343
90900	295975	3750
128025	124925	137675
90150	47500	252975
215125	112500	63000
118815	124938	146872
246025	78750	65850
306275	36850	47500
195625	117500	77500
146439	76383	167803
312500	78125	0
25750	345000	19875
211400	17500	161725
30750	215625	144250
142250	93800	154575
385000	5625	0
155074	209963	25588
110392	136680	143553
351625	20300	18700
66200	265625	58800
273377	88874	28374
235525	90300	64800
131250	101125	158250
204647	86714	99264
148750	204600	37275
105625	8750	276250
183925	64075	142625
328125	7500	55000
328125	30000	32500
204900	38925	146800
174799	60988	154838
46875	222600	121150
221900	15300	153425
361600	0	29025
350525	6400	33700
254375	77500	58750
107925	91900	190800
172250	98375	120000
49460	76560	264605
138125	42500	210000
185595	180390	24640
30000	328125	32500
51685	216180	122760
110375	158750	121500
116225	7175	267225
210300	85725	94600
6250	373625	10750
121941	61696	206988
274250	50375	66000
306250	56250	28125
277835	62567	50223
368125	0	22500
295200	73675	21750
378125	12250	250
223325	132300	35000
138175	198450	54000
170374	121824	98427
72800	13200	304625
312500	0	78125
191737	107244	91644
215000	8750	166875
242450	79600	68575
390625	0	0
212500	65625	112500
0	0	390625
267150	78750	44725
390625	0	0
195625	97500	97500
327750	18750	44125
170613	78906	141106
201180	68160	121285
123125	258750	8750
368022	8364	14239
161575	78000	151050
313125	55000	22500
144450	86400	159775
270625	50625	69375
165000	0	225625
372550	8100	9975
137334	106533	146758
175475	139825	75325
203125	0	187500
203795	76220	110610
203750	96900	89975
228250	98175	64200
195075	75675	119875
179975	24750	185900
378925	9900	1800
307254	35173	48198
166875	82500	141250
162175	121950	106500
375000	0	15625
125075	152850	112700
204425	58400	127800
171875	0	218750
305000	0	85625
276614	70368	43643
195000	67350	128275
390625	0	0
173393	86682	130550
191875	146250	52500
193125	130000	67500
82567	115392	192666
196130	111730	82765
248750	35000	106875
163625	113500	113500
130625	181875	78125
228125	74375	88125
158975	169850	61800
146875	187650	56100
141150	230625	18850
143442	126922	120261
223201	94512	72912
264625	57500	68500
203125	0	187500
390625	0	0
206875	26250	157500
195408	109021	86196
126835	132000	131790
120750	94875	175000
244500	63625	82500
360550	18825	11250
193950	87475	109200
173710	112060	104855
195450	169050	26125
297000	84250	9375
258625	96000	36000
50500	154500	185625
167775	87850	135000
371325	2500	16800
191675	96750	102200
250000	0	140625
211975	140400	38250
196250	180625	13750
198650	100575	91400
370750	11250	8625
129375	153300	107950
197500	73125	120000
115125	95800	179700
175625	45000	170000
338625	36000	16000
171875	0	218750
131825	248800	10000
390625	0	0
190375	116250	84000
255625	135000	0
45742	170391	174492
325525	6300	58800
84375	11750	294500
96250	256950	37425
152000	109250	129375
148880	57230	184515
390625	0	0
196875	112500	81250
141625	191000	58000
65675	113700	211250
175650	45925	169050
360550	18075	12000
47500	267300	75825
194400	106200	90025
90500	199375	100750
136950	169300	84375
149775	6250	234600
187000	121550	82075
164375	161500	64750
156600	224825	9200
68000	33250	289375
269000	58125	63500
181250	22775	186600
141486	86709	162430
195000	105625	90000
125000	102000	163625
192875	82725	115025
348125	8750	33750
154100	147275	89250
385625	0	5000
184903	151194	54528
172615	161680	56330
110900	52400	227325
201475	119150	70000
72500	240625	77500
135000	184000	71625
90000	78125	222500
186875	118750	85000
180260	53820	156545
276000	58250	56375
183700	103050	103875
210800	94825	85000
216675	140875	33075
189421	161952	39252
15450	19200	355975
343750	46875	0
176100	131900	82625
312500	0	78125
140625	250000	0
265625	5000	120000
375576	637	14412
131125	160050	99450
78125	0	312500
218475	0	172150
346825	26250	17550
