0,1,2
137175,130075,123375
117170,213190,60265
146125,137700,106800
157475,44700,188450
307875,60000,22750
256800,27750,106075
70235,305680,14710
331025,26975,32625
169650,91150,129825
266250,78305,46070
130500,115425,144700
126985,150960,112680
188765,102405,99455
200300,102825,87500
158598,103076,128951
158775,167200,64650
346875,6250,37500
225625,44500,120500
236197,43814,110614
237875,79000,73750
206836,124157,59632
262625,67500,60500
200671,127342,62612
220900,110550,59175
162345,92380,135900
132209,123646,134770
192795,23808,174022
209750,48000,132875
314875,45000,30750
155952,119440,115233
221240,72080,97305
198175,67500,124950
86160,120210,184255
302150,46200,42275
295717,40104,54804
79300,271950,39375
158513,42674,189438
270125,39625,80875
214725,53475,122425
53750,124375,212500
90080,25865,274680
358025,9300,23300
348325,19050,23250
244800,92975,52850
114681,217598,58346
226100,115000,49525
243703,30978,115944
139975,144875,105775
244000,27500,119125
101353,250578,38694
259375,51825,79425
363025,13800,13800
218750,0,171875
180950,140250,69425
151050,148300,91275
172975,118650,99000
117150,128825,144650
173375,74325,142925
161250,125975,103400
245825,107600,37200
253375,82950,54300
353625,12000,25000
146250,192175,52200
153200,52500,184925
222675,74750,93200
138525,214300,37800
37450,31575,321600
92650,245175,52800
337725,7150,45750
126252,100863,163510
160875,127250,102500
223375,65450,101800
112150,175600,102875
163951,142462,84212
306425,5000,79200
111375,187450,91800
146800,95825,148000
268150,81225,41250
80975,145300,164350
163268,101741,125616
241340,54840,94445
235275,96550,58800
89050,183425,118150
228615,121730,40280
222065,71880,96680
161725,112600,116300
172200,137500,80925
147125,212250,31250
106585,223671,60369
165500,168500,56625
132075,54850,203700
140625,0,250000
180014,113718,96893
253600,123750,13275
60875,102075,227675
145325,183750,61550
206200,75350,109075
228125,112500,50000
65730,18580,306315
371875,18750,0
161475,100800,128350
303250,68225,19150
159378,119461,111786
275800,68625,46200
152345,186955,51325
152250,220000,18375
111705,190750,88170
221885,78570,90170
239320,55920,95385
126875,119375,144375
390625,0,0
139600,119100,131925
141494,153137,95994
183425,54400,152800
156622,61122,172881
163175,132850,94600
243775,103500,43350
154475,113275,122875
324275,35725,30625
220950,102475,67200
186513,112156,91956
157841,103546,129238
291275,66893,32457
207600,58949,124076
95344,113083,182198
273525,90350,26750
175600,67675,147350
203815,169930,16880
250897,69264,70464
168060,85995,136570
120050,151625,118950
192545,63240,134840
106050,129900,154675
168825,102525,119275
154325,149250,87050
168750,100375,121500
115445,198835,76345
191600,114200,84825
124850,204660,61115
189000,156375,45250
26050,15225,349350
272375,20625,97625
185066,102217,103342
246225,119700,24700
343750,0,46875
207025,85000,98600
211824,104388,74413
165550,84375,140700
147800,122075,120750
275625,77200,37800
310625,35000,45000
102800,230275,57550
307050,35000,48575
73836,78086,238703
390625,0,0
201269,119078,70278
258760,85845,46020
295000,78125,17500
285625,33750,71250
95225,202700,92700
177500,23375,189750
259709,61708,69208
189250,95500,105875
132040,230070,28515
165625,127500,97500
152625,95000,143000
140573,34776,215276
49800,230525,110300
172525,67300,150800
147250,106250,137125
230300,108030,52295
105000,100000,185625
105625,218375,66625
275000,50000,65625
303875,78350,8400
162875,104200,123550
114575,110675,165375
121280,173120,96225
126125,261200,3300
129900,163675,97050
136875,220000,33750
253125,61500,76000
173925,128250,88450
195150,118750,76725
307400,29225,54000
183000,116250,91375
93750,296875,0
173825,116650,100150
42625,287800,60200
145513,126531,118581
259885,69620,61120
206975,110000,73650
62500,55425,272700
110179,205271,75175
186875,58750,145000
198125,96250,96250
119825,105800,165000
191400,27300,171925
198531,104722,87372
343275,33600,13750
223853,76384,90388
179600,158300,52725
146353,175948,68324
139388,113246,137991
215825,29900,144900
116875,181875,91875
304250,58125,28250
346200,29425,15000
150787,56037,183801
238575,89650,62400
173925,92175,124525
320850,41975,27800
92723,157658,140244
125595,193440,71590
242875,53750,94000
143878,162650,84097
334375,56250,0
262500,77125,51000
172900,105075,112650
281250,109375,0
231587,84244,74794
189375,183750,17500
125785,184630,80210
153650,186050,50925
13750,1875,375000
48875,172550,169200
389425,600,600
105555,218360,66710
161625,122500,106500
119700,102900,168025
174170,121315,95140
243825,64175,82625
129625,172875,88125
185057,99860,105708
116900,132375,141350
226240,100755,63630
172000,131075,87550
58125,69200,263300
246715,89430,54480
56492,197005,137128
218750,102375,69500
275745,58840,56040
126450,166900,97275
375000,0,15625
170605,210510,9510
58750,45625,286250
138321,93802,158502
223750,60000,106875
294375,0,96250
126415,176155,88055
142454,86632,161539
89244,247862,53519
147125,187750,55750
336400,28925,25300
328125,15000,47500
161005,141860,87760
316350,37375,36900
245745,77640,67240
190250,89375,111000
242900,24625,123100
286525,3300,100800
84975,82500,223150
251708,49271,89646
296950,39375,54300
276850,62825,50950
130625,196250,63750
267387,116026,7212
235125,110950,44550
181250,34375,175000
390625,0,0
135896,119141,135588
233121,120152,37352
173550,210200,6875
109738,139638,141249
219815,110555,60255
287125,75125,28375
