0,1,2
138677,132986,118962
138885,140684,111056
132795,137937,119893
179865,102460,108300
140533,116036,134056
169520,106399,114706
127529,140534,122562
173321,93635,123669
162129,133552,94944
124374,136744,129507
148326,138526,103773
167766,110237,112622
126516,141693,122416
161056,96444,133125
122010,143038,125577
139198,124655,126772
170934,120611,99080
136045,155892,98688
116478,157732,116415
145934,152960,91731
132043,133581,125001
151650,123860,115115
143881,107101,139643
161033,115754,113838
96915,103498,190212
182587,110907,97131
102682,115495,172448
117418,119857,153350
144812,142317,103496
156902,118148,115575
137305,123224,130096
151678,127528,111419
167429,115547,107649
168845,94111,127669
162024,119179,109422
143312,129014,118299
121643,94965,174017
214870,70441,105314
120135,138868,131622
130871,115740,144014
156006,123084,111535
134207,156660,99758
86620,175346,128659
91253,142245,157127
111854,152122,126649
166111,100524,123990
143112,108813,138700
143037,149482,98106
148324,106380,135921
149719,130517,110389
123266,150797,116562
114729,123661,152235
153710,133208,103707
135320,130869,124436
148230,139473,102922
136530,123430,130665
157651,120998,111976
147602,124303,118720
116892,108104,165629
182093,115250,93282
118458,124912,147255
111034,134879,144712
153188,119628,117809
110032,150587,130006
184890,106776,98959
134297,91714,164614
186491,108690,95444
108835,164520,117270
138638,129365,122622
168192,119985,102448
188389,87813,114423
150078,96225,144322
170633,111454,108538
154152,131260,105213
105403,133555,151667
158041,115578,117006
124225,115093,151307
154176,126851,109598
116194,127078,147353
192598,105371,92656
179833,106177,104615
148497,118352,123776
130941,107973,151711
150918,121396,118311
167621,120379,102625
140539,133417,116669
115289,131956,143380
124720,127520,138385
142263,124872,123490
139294,142460,108871
157581,118647,114397
144620,117990,128015
150975,119773,119877
171008,97131,122486
138295,155121,97209
140865,149282,100478
143844,129826,116955
146328,127690,116607
126885,114963,148777
138456,127217,124952
172166,67793,150666
135147,139296,116182
143894,125913,120818
149822,122343,118460
149057,110165,131403
204412,108411,77802
116891,158861,114873
128945,119861,141819
173440,116912,100273
136644,157025,96956
88014,108999,193612
130910,127862,131853
180609,101648,108368
135161,132546,122918
155090,114844,120691
101111,102115,187399
158050,108197,124378
166589,96708,127328
172404,107073,111148
168654,100589,121382
161643,108582,120400
113895,132561,144169
163460,116358,110807
151932,110203,128490
124455,141578,124592
138939,112487,139199
137757,139799,113069
149210,118303,123112
120040,130972,139613
155489,120395,114741
174924,113236,102465
122357,135525,132743
176583,107736,106306
174257,124521,91847
153813,107307,129505
142554,119368,128703
163165,114436,113024
130138,133284,127203
129834,120729,140062
140560,135215,114850
196058,113906,80661
141586,111130,137909
135555,122163,132907
122233,120716,147676
139829,126665,124131
140967,109194,140464
131477,133853,125295
141187,125172,124266
135835,134759,120031
118673,195279,76673
154081,117148,119396
142581,135629,112415
155831,118888,115906
121733,130487,138405
126984,123945,139696
169269,115642,105714
125584,123903,141138
164404,117871,108350
139473,125131,126021
156496,128102,106027
140681,112831,137113
139842,141001,109782
194295,97345,98985
167706,114118,108801
137771,123046,129808
173092,107903,109630
119933,133548,137144
162938,141881,85806
163524,108246,118855
143037,100845,146743
135485,111095,144045
140175,115594,134856
111779,160679,118167
117715,122299,150611
151104,114373,125148
228144,76374,86107
198531,97054,95040
110592,175941,104092
115814,137192,137619
153925,123631,113069
129998,146893,113734
154652,116217,119756
169734,112400,108491
155210,118012,117403
170659,116219,103747
141494,124102,125029
161203,86235,143187
148982,114045,127598
116075,115926,158624
139192,136761,114672
116199,134143,140283
186545,105050,99030
154579,163019,73027
152608,118741,119276
150396,116977,123252
158810,106752,125063
150187,106996,133442
138297,123142,129186
138261,126752,125612
159729,120416,110480
93545,123840,173240
187129,102122,101374
164902,113382,112341
188665,88136,113824
167744,112892,109989
155261,121769,113595
156586,113122,120917
126489,136337,127799
140211,98943,151471
90216,129105,171304
137216,125589,127820
114905,126073,149647
99944,135314,155367
127935,137797,124893
163209,112461,114955
138094,148970,103561
137990,128351,124284
130355,110837,149433
130619,146186,113820
132038,129063,129524
129014,161401,100210
132424,126095,132106
114931,139404,136290
104975,120927,164723
125835,152042,112748
144870,127015,118740
116087,107376,167162
121598,91957,177070
132937,131844,125844
184614,109825,96186
145450,98205,146970
135103,104585,150937
136836,139055,114734
141333,111379,137913
146339,119692,124594
140850,137654,112121
181379,100370,108876
179532,104810,106283
117465,139551,133609
129552,158491,102582
154502,125666,110457
130067,134662,125896
122710,128596,139319
122461,131253,136911
158042,113547,119036
148887,99216,142522
101449,175552,113624
168956,118841,102828
136514,132193,121918
125385,129437,135803
173211,109046,108368
119855,140831,129939
119456,139613,131556
134527,133056,123042
120074,131835,138716
120699,118457,151469
151848,122411,116366
139810,116284,134531
149246,139151,102228
149466,112250,128909
200733,69536,120356
127142,120753,142730
191957,58201,140467
109942,143665,137018
113728,118873,158024
146929,136471,107225
123539,133439,133647
180361,131606,78658
136702,117602,136321
139101,129975,121549
141629,128379,120617
148749,111000,130876
174490,110853,105282
144435,112097,134093
141458,132661,116506
124734,131282,134609
104059,118219,168347
140095,128824,121706
151650,114856,124119
117470,120628,152527
90505,202361,97759
132645,134294,123686
113013,127399,150213
124889,120535,145201
150418,123942,116265
152251,116103,122271
145027,141072,104526
139085,143565,107975
147942,112331,130352
124322,131556,134747
143632,138076,108917
129169,109150,152306
138461,128549,123615
164571,102345,123709
138625,124804,127196
186261,118940,85424
146493,111295,132837
150792,130567,109266
114452,144256,131917
132276,146570,111779
179746,99248,111631
138709,103355,148561
136381,122679,131565
145030,95987,149608
147053,120032,123540
147232,112355,131038
