0,1,2
168450,85950,136225
61400,147150,182075
31525,42950,316150
76750,34400,279475
143452,46521,200652
142104,109769,138752
116150,118725,155750
79978,75150,235497
145625,183125,61875
123135,22462,245028
95025,121550,174050
159540,94505,136580
69093,171238,150294
70203,98228,222194
143480,118625,128520
154425,128175,108025
53886,148986,187753
112966,68980,208679
25750,65675,299200
82027,171996,136602
159850,61275,169500
152408,109572,128645
167781,91837,131007
89870,87240,213515
151900,78400,160325
108144,93354,189127
127759,89258,173608
32125,38475,320025
98735,104920,186970
85995,94495,210135
82850,160450,147325
154276,126844,109505
189101,99686,101838
203980,59830,126815
171925,73925,144775
198125,80100,112400
121875,43900,224850
179043,64161,147421
118790,104265,167570
63764,100624,226237
156300,83625,150700
33494,48628,308503
126750,140250,123625
117975,73700,198950
80269,71127,239229
43550,66700,280375
103170,80160,207295
182244,91927,116454
185570,72360,132695
189566,68358,132701
121175,75100,194350
95724,116683,178218
100375,80700,209550
55377,83964,251284
111850,110600,168175
83001,77622,230002
98350,95360,196915
125515,165630,99480
68122,40818,281685
90243,104777,195605
86233,87194,217198
78570,87150,224905
53200,153125,184300
75735,122760,192130
103325,175100,112200
133041,70631,186953
114557,62202,213866
47625,97250,245750
48000,28500,314125
181853,65547,143225
183302,92204,115119
108550,131160,150915
147650,81875,161100
53300,65750,271575
70440,104165,216020
89538,127688,173399
158275,95000,137350
115384,61434,213807
119012,73062,198551
121445,127620,141560
70875,74950,244800
43208,28404,319013
135800,74075,180750
103422,80214,206989
101650,77300,211675
129030,101346,160249
108444,33742,248439
105890,89265,195470
73825,146350,170450
100746,16756,273123
82700,207550,100375
80550,54700,255375
94525,96325,199775
105250,123000,162375
157785,55037,177803
185700,78125,126800
251975,46225,92425
32100,47125,311400
75700,115550,199375
61250,28125,301250
56580,49130,284915
234232,80586,75807
184515,85465,120645
90070,126582,173973
103186,130363,157076
91497,78516,220612
88074,71199,231352
205720,83214,101691
119025,43100,228500
187825,16400,186400
107599,83604,199422
149135,86060,155430
118966,96518,175141
115000,87000,188625
115875,112000,162750
121850,99300,169475
102575,83075,204975
92550,65675,232400
129860,88485,172280
106122,90022,194481
92900,104375,193350
127208,76085,187332
118850,52800,218975
99045,100595,190985
50060,172965,167600
173036,33486,184103
164798,82204,143623
101900,86000,202725
84900,50150,255575
246025,49100,95500
85768,81793,223064
94800,44550,251275
123158,43446,224021
154060,107660,128905
125713,110537,154375
53880,174315,162430
127808,70621,192196
122724,124074,143827
108450,64500,217675
99831,96868,193926
127010,103805,159810
99751,44751,246123
52870,78636,259119
141893,94662,154070
53510,47090,290025
90480,54775,245370
71250,71250,248125
99258,102392,188975
112425,85050,193150
50518,164418,175689
136670,120320,133635
123125,42500,225000
92225,124625,173775
121075,163750,105800
79353,188973,122299
13125,16000,361500
85610,108245,196770
105075,68125,217425
56678,27414,306533
24650,60075,305900
173850,101475,115300
39095,96820,254710
157175,83100,150350
51245,56270,283110
78875,56600,255150
103930,102460,184235
83250,137500,169875
108932,169487,112206
47225,102350,241050
235425,71475,83725
128128,71784,190713
118288,164767,107570
98724,150552,141349
203298,75576,111751
101297,124232,165096
106925,102500,181200
71428,163996,155201
160225,99125,131275
101750,126625,162250
93255,103625,193745
126210,54595,209820
139575,135450,115600
128070,124685,137870
120850,110000,159775
103125,12500,275000
88700,188050,113875
148038,81768,160819
83085,72260,235280
44879,95190,250556
84700,124300,181625
107800,134500,148325
108744,125470,156411
38500,187000,165125
156325,118400,115900
69100,118050,203475
131194,102798,156633
94200,70125,226300
129075,71050,190500
52956,47026,290643
127125,94900,168600
61875,146750,182000
88523,152096,150006
48664,45589,296372
146635,90130,153860
83175,112125,195325
144578,98865,147182
53388,124938,212299
128900,104350,157375
3750,10375,376500
93776,104389,192460
142633,104645,143347
133050,103125,154450
84815,89975,215835
136200,63200,191225
166250,97500,126875
93381,133658,163586
80575,94800,215250
59625,88950,242050
118572,88606,183447
46000,48375,296250
100724,87974,201927
96975,100900,192750
110198,51482,228945
90385,46985,253255
73507,126748,190370
101750,147750,141125
123022,76780,190823
263025,32600,95000
49400,79350,261875
70735,36145,283745
136726,88726,165173
98620,80705,211300
115997,111829,162799
119800,116400,154425
55720,204256,130649
95697,69685,225243
204450,72850,113325
130269,121330,139026
71900,59625,259100
211550,67100,111975
64675,34300,291650
161350,53205,176070
131980,116945,141700
240575,70125,79925
160200,103800,126625
144065,94295,152265
116150,127475,147000
70585,40010,280030
78152,119399,193074
117718,119404,153503
168222,71856,150547
96833,72731,221061
102625,83400,204600
96310,109170,185145
86100,52925,251600
127155,133035,130435
86454,142610,161561
37250,27375,326000
102325,128100,160200
149000,101625,140000
38700,65950,285975
108425,98400,183800
68250,76375,246000
137743,126624,126258
117964,108652,164009
137250,81250,172125
67400,176000,147225
117160,111138,162327
153290,52840,184495
155660,90780,144185
112303,27808,250514
93750,10450,286425
117025,93030,180570
124225,97450,168950
101722,107334,181569
100950,90160,199515
13000,13750,363875
161100,106425,123100
137705,116700,136220
70975,62550,257100
69990,94425,226210
149385,80560,160680
125700,79800,185125
80375,90000,220250
86966,60573,243086
71350,47300,271975
142225,91050,157350
79310,155785,155530
93431,168988,128206
82500,76675,231450
99001,89976,201648
118028,91178,181419
50710,189760,150155
129325,30625,230675
173525,70850,146250
94406,40921,255298
154580,51925,184120
166175,82800,141650
196900,68525,125200
90365,166190,134070
144275,60275,186075
91625,84550,214450
74925,128534,187166
88110,129510,173005
107550,110350,172725
140625,0,250000
83275,176850,130500
63000,97800,229825
106142,35392,249091
81350,120750,188525
33450,52650,304525
69768,134891,185966
211875,74375,104375
141210,36435,212980
108030,39930,242665
68350,124400,197875
110850,87400,192375
123817,40708,226100
185037,93376,112212
112915,104980,172730
8150,30300,352175
92775,102100,195750
111775,93725,185125
137695,90040,162890
75825,23700,291100
118997,95122,176506
112950,80850,196825
69250,1000,320375
162000,123625,105000
76877,157192,156556
117150,147657,125818
100804,76038,213783
111900,149875,128850
87635,117460,185530
131713,144756,114156
70305,182310,138010
64898,174583,151144
71000,88950,230675
151850,71700,167075
139308,135472,115845
93720,83270,213635
129425,113100,148100
102000,118125,170500
140262,91050,159313
163625,72000,155000
142500,126000,122125
85800,140250,164575
126265,89020,175340
101375,86250,203000
136168,90827,163630
56750,93050,240825
98910,141872,149843
96675,173425,120525
174128,64211,152286
102573,64248,223804
159000,48300,183325
245375,59325,85925
102138,77034,211453
145148,118889,126588
113275,126500,150850
81800,90250,218575
78521,182046,130058
109275,133400,147950
131811,109436,149378
72340,66470,251815
118403,105418,166804
123125,175625,91875
148005,115195,127425
108325,102300,180000
121499,126612,142514
183550,96600,110475
77483,89358,223784
168775,133000,88850
172200,114300,104125
162500,61050,167075
191190,88755,110680
48200,71550,270875
