0,1,2
33500,124700,232425
180991,54040,155594
136041,107666,146918
145986,99818,144821
70834,114610,205181
131155,127830,131640
103545,73170,213910
130280,83395,176950
183608,97408,109609
144475,170025,76125
152600,144275,93750
116750,24900,248975
145525,22000,223100
83890,131835,174900
204357,77034,109234
100750,104125,185750
192006,50706,147913
150950,75125,164550
151911,46260,192454
76200,64850,249575
176086,75232,139307
229775,63850,97000
177400,135375,77850
104753,124161,161711
138930,104959,146736
100000,81300,209325
150380,112380,127865
72858,68758,249009
176100,41500,173025
89050,180325,121250
89200,86975,214450
188850,59150,142625
113468,122414,154743
218130,24070,148425
280999,41838,67788
167500,83750,139375
56469,61978,272178
225095,62290,103240
118811,128778,143036
121189,98052,171384
118914,119208,152503
80055,165330,145240
133539,108375,148711
113150,48500,228975
182900,118950,88775
139793,25016,225816
106750,146875,137000
81250,0,309375
106580,102920,181125
155085,91870,143670
124650,120350,145625
80375,151625,158625
94900,139925,155800
78125,63750,248750
132175,121350,137100
87600,34800,268225
171450,83675,135500
61525,156500,172600
111746,107193,171686
63841,56108,270676
182925,80300,127400
119890,169550,101185
179400,120050,91175
154590,23075,212960
128834,154438,107353
120475,122450,147700
131350,109600,149675
174093,77853,138679
27300,157075,206250
119802,149043,121780
149260,105320,136045
32125,57250,301250
133313,36289,221023
136673,142557,111395
115426,113487,161712
137665,151401,101559
103100,92475,195050
192750,43300,154575
94725,11800,284100
7875,56750,326000
61875,221875,106875
114700,156700,119225
124036,65971,200618
251050,59900,79675
67123,150726,172776
212025,7325,171275
153050,35800,201775
136350,159500,94775
153725,49750,187150
186450,92090,112085
48400,5625,336600
84800,92000,213825
72325,64375,253925
91652,95500,203473
249222,54090,87313
105180,88155,197290
174600,72000,144025
183245,86790,120590
137280,97080,156265
72675,43750,274200
152421,90750,147454
133319,144528,112778
159441,104292,126892
89600,113775,187250
196750,89250,104625
76350,117600,196675
125519,122153,142953
93275,39500,257850
150100,107150,133375
134785,86410,169430
187300,39275,164050
154400,123900,112325
181620,75250,133755
173025,85900,131700
148370,141774,100481
131029,81793,177803
141225,113584,135816
140125,110975,139525
82995,72395,235235
218615,24040,147970
138380,93037,159208
197125,82175,111325
191235,104420,94970
55725,72612,262288
164615,111680,114330
146645,108910,135070
309375,20000,61250
76330,135700,178595
157100,110400,123125
75075,56450,259100
52625,150000,188000
86550,54375,249700
128186,118943,143496
219475,56900,114250
205925,128625,56075
154600,113325,122700
133750,59850,197025
113516,127347,149762
96750,111875,182000
139125,110500,141000
98985,96805,194835
70021,76929,243675
190420,86960,113245
127204,118248,145173
140365,104515,145745
107850,150300,132475
130275,95900,164450
200500,49500,140625
147550,61700,181375
95350,167175,128100
122750,45750,222125
199575,82650,108400
110191,120868,159566
68776,41587,280262
162705,72570,155350
171875,0,218750
204325,97500,88800
208599,75907,106119
52725,153975,183925
88075,61850,240700
217000,58298,115327
105750,135900,148975
101075,112350,177200
177825,91200,121600
181150,92375,117100
131319,111008,148298
110297,152934,127394
219486,42111,129028
185746,88188,116691
207340,42940,140345
147450,111300,131875
121875,87500,181250
92688,105924,192013
168102,110174,112349
82150,81250,227225
124695,114925,151005
88090,72655,229880
136420,121810,132395
105200,57250,228175
126875,73350,190400
100435,168284,121906
112500,150000,128125
184675,114575,91375
188925,56000,145700
80350,78830,231445
206015,128410,56200
129147,98528,162950
227525,81700,81400
62500,0,328125
157455,82470,150700
160625,73125,156875
47470,26020,317135
85586,95309,209730
54928,16661,319036
149000,75000,166625
171100,129225,90300
51250,143500,195875
160685,113970,115970
138400,147675,104550
117005,94705,178915
175235,103360,112030
204650,142225,43750
121085,77710,191830
94550,183650,112425
95900,69500,225225
238575,102600,49450
204352,98351,87922
50110,31018,309497
152098,119676,118851
74000,111250,205375
137000,43125,210500
141963,112889,135773
131750,144300,114575
191926,81312,117387
