0,1,2
152940,129500,108185
91850,71500,227275
142697,169576,78352
325700,32025,32900
204829,94848,90948
162100,28050,200475
159850,69825,160950
167205,60559,162861
163750,47950,178925
144375,137550,108700
231600,69950,89075
218144,58878,113603
163897,95340,131388
139525,63450,187650
301625,84000,5000
140725,148200,101700
116315,71280,203030
310965,12180,67480
129455,129780,131390
63125,142500,185000
152675,104700,133250
63125,96600,230900
234375,0,156250
153800,141950,94875
275601,62562,52462
148813,84050,157762
123185,109320,158120
186625,111750,92250
240975,52850,96800
276375,51750,62500
116565,149331,124729
259450,94975,36200
227188,103438,59999
210250,111075,69300
159353,105288,125984
235044,94678,60903
119763,176263,94599
206250,96875,87500
114050,34550,242025
144350,164450,81825
108075,212700,69850
167402,101502,121721
231550,127200,31875
209275,48750,132600
181731,106372,102522
275045,65790,49790
129575,27600,233450
234875,80150,75600
146665,101930,142030
177941,93278,119406
241825,73800,75000
191000,129085,70540
222675,77425,90525
215875,141900,32850
46625,213075,130925
234335,96370,59920
130351,98391,161883
134713,206724,49188
325600,31950,33075
328125,0,62500
157500,53125,180000
135125,102925,152575
75625,94350,220650
190875,99725,100025
378125,0,12500
211075,75625,103925
114532,209456,66637
125970,178500,86155
51875,125050,213700
167155,60180,163290
321775,51000,17850
215875,101375,73375
125950,46125,218550
168941,103041,118643
125751,96401,168473
229275,36500,124850
373025,3800,13800
87442,103341,199842
375000,11625,4000
151375,99725,139525
176125,96250,118250
202065,92305,96255
265825,57475,67325
110325,114800,165500
150000,47025,193600
150345,202120,38160
185370,120620,84635
183700,116760,90165
122636,144775,123214
101705,142930,145990
192105,109590,88930
180153,148861,61611
115000,141050,134575
175325,99150,116150
228450,97375,64800
315775,0,74850
161425,104550,124650
106180,102660,181785
187124,89888,113613
193550,105325,91750
371750,500,18375
44375,244775,101475
215076,109123,66426
137349,183388,69888
211525,87225,91875
173175,96250,121200
301685,9570,79370
144210,98320,148095
201779,72198,116648
167245,134533,88847
176700,101500,112425
182275,98300,110050
210625,90000,90000
161500,112500,116625
173005,80280,137340
128501,184398,77726
125290,114117,151218
28400,232225,130000
173375,69875,147375
250150,51900,88575
90000,3750,296875
150141,128092,112392
231425,16500,142700
220862,80744,89019
195745,57040,137840
133125,145000,112500
181975,86575,122075
154550,164825,71250
102450,256825,31350
75145,122155,193325
