"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,14808,14646,0.006,0.891,0.345,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",34,25,0.153,1.378,0.240,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",26,20,0.130,0.785,0.376,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",15,12,0.111,0.334,0.563,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",23,24,-0.021,0.021,0.884,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",10,13,-0.130,0.392,0.531,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",16,15,0.032,0.032,0.857,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",10,11,-0.048,0.048,0.827,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",12,15,-0.111,0.334,0.563,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",15,18,-0.091,0.273,0.601,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",41,55,-0.146,2.049,0.152,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",87,81,0.036,0.214,0.643,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",69,67,0.015,0.029,0.864,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",94,103,-0.046,0.411,0.521,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",71,58,0.101,1.312,0.252,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",116,113,0.013,0.039,0.843,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",69,63,0.045,0.273,0.601,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",115,112,0.013,0.040,0.842,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",98,103,-0.025,0.124,0.724,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",133,127,0.023,0.138,0.710,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",191,203,-0.030,0.366,0.545,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",274,272,0.004,0.007,0.932,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",240,228,0.026,0.308,0.579,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",349,378,-0.040,1.157,0.282,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",251,278,-0.051,1.379,0.240,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",102,120,-0.081,1.461,0.227,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",204,169,0.094,3.289,0.070,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",283,285,-0.004,0.007,0.933,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",418,445,-0.031,0.845,0.358,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",625,581,0.036,1.606,0.205,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",874,888,-0.008,0.111,0.739,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",157,132,0.087,2.165,0.141,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",205,206,-0.002,0.002,0.961,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",402,371,0.040,1.244,0.265,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",682,593,0.070,6.218,0.013,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",1029,1003,0.013,0.333,0.564,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",178,180,-0.006,0.011,0.916,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",245,241,0.008,0.033,0.856,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",511,488,0.023,0.530,0.467,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",732,776,-0.029,1.284,0.257,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",214,193,0.052,1.084,0.298,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",320,335,-0.023,0.344,0.558,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",653,631,0.017,0.377,0.539,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",316,311,0.008,0.040,0.842,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",472,478,-0.006,0.038,0.846,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",425,436,-0.013,0.141,0.708,1
