T1,T2,T3
"(O,(P1,(P2,P3)));","(O,(P2,(P1,P3)));","(O,(P3,(P1,P2)));"
0.3905,0.3293,0.2802
0.4278,0.296,0.2762
0.3222,0.3812,0.2966
0.2847,0.3788,0.3365
0.3157,0.3412,0.3431
0.3135,0.383,0.3035
0.3477,0.3788,0.2735
0.2736,0.4589,0.2675
0.2581,0.5179,0.224
0.2314,0.5346,0.234
0.2248,0.4602,0.315
0.216,0.4522,0.3318
0.223,0.4716,0.3054
0.2324,0.4577,0.3099
0.2324,0.4577,0.3099
0.2324,0.4577,0.3099
0.2348,0.4591,0.3061
0.2083,0.4571,0.3346
0.2034,0.4568,0.3398
0.2034,0.4568,0.3398
0.2034,0.4568,0.3398
0.2122,0.4344,0.3534
0.2169,0.4383,0.3448
0.1119,0.4353,0.4528
0.1162,0.4164,0.4674
0.1746,0.3552,0.4702
0.1746,0.3552,0.4702
0.1726,0.3612,0.4662
0.1726,0.3612,0.4662
0.1726,0.3612,0.4662
0.1726,0.3612,0.4662
0.1726,0.3612,0.4662
0.1726,0.3612,0.4662
0.1726,0.3612,0.4662
0.1726,0.3612,0.4662
0.1726,0.3612,0.4662
0.1726,0.3612,0.4662
0.1726,0.3552,0.4722
0.178,0.267,0.555
0.178,0.267,0.555
0.197,0.247,0.556
0.179,0.287,0.534
0.179,0.287,0.534
0.179,0.287,0.534
0.1902,0.3122,0.4976
0.1902,0.3122,0.4976
0.2092,0.2782,0.5126
0.2092,0.2782,0.5126
0.2132,0.2812,0.5056
0.2352,0.2552,0.5096
0.186,0.206,0.608
0.186,0.206,0.608
0.2482,0.2682,0.4836
0.2482,0.2682,0.4836
0.2648,0.2948,0.4404
0.1992,0.3672,0.4336
0.1932,0.3572,0.4496
0.175,0.327,0.498
0.163,0.299,0.538
0.126,0.298,0.576
0.1485,0.3105,0.541
0.1485,0.3105,0.541
0.1685,0.2905,0.541
0.146,0.238,0.616
0.1985,0.2605,0.541
0.1887,0.1887,0.6226
0.1929,0.1929,0.6142
0.1992,0.1992,0.6016
0.2262,0.2262,0.5476
0.2283,0.2283,0.5434
0.2297,0.2297,0.5406
0.2307,0.2277,0.5416
0.2307,0.2277,0.5416
0.2307,0.2277,0.5416
0.2307,0.2277,0.5416
0.2307,0.2277,0.5416
0.2067,0.2037,0.5896
0.2803,0.2297,0.49
0.2824,0.2318,0.4858
0.2654,0.2896,0.445
0.2731,0.2829,0.444
0.2722,0.2562,0.4716
0.2611,0.2617,0.4772
