T1,T2,T3
"(O,(P3,(P1,P2)));","(O,(P1,(P2,P3)));","(O,(P2,(P1,P3)));"
0.2196,0.457,0.3234
0.2356,0.3714,0.393
0.3676,0.2746,0.3578
0.6704,0.1993,0.1303
0.586,0.1564,0.2576
0.15,0.204,0.646
0.4834,0.2648,0.2518
0.4044,0.2444,0.3512
0.334,0.296,0.37
0.364,0.2884,0.3476
0.5972,0.2334,0.1694
0.3578,0.3486,0.2936
0.373,0.1805,0.4465
0.4187,0.2747,0.3066
0.5395,0.306,0.1545
0.4265,0.2788,0.2947
0.36,0.29,0.35
0.3952,0.4569,0.1479
0.416,0.2868,0.2972
0.4438,0.2772,0.279
0.4099,0.2639,0.3262
0.353,0.2244,0.4226
0.259,0.256,0.485
0.373,0.388,0.239
0.366,0.2622,0.3718
0.4492,0.3206,0.2302
0.3095,0.2237,0.4668
0.4169,0.2835,0.2996
0.2273,0.3719,0.4008
0.2446,0.4638,0.2916
0.603,0.152,0.245
0.5442,0.2574,0.1984
0.2925,0.1195,0.588
0.4761,0.2677,0.2562
0.2792,0.2882,0.4326
0.3476,0.3246,0.3278
0.3578,0.414,0.2282
0.4438,0.408,0.1482
0.784,0.084,0.132
0.5554,0.3158,0.1288
0.6006,0.2014,0.198
0.3672,0.362,0.2708
0.572,0.248,0.18
0.2442,0.4232,0.3326
0.248,0.464,0.288
0.299,0.2835,0.4175
0.5295,0.3103,0.1602
0.334,0.3766,0.2894
0.4742,0.2452,0.2806
0.464,0.365,0.171
0.4692,0.2624,0.2684
0.425,0.286,0.289
0.552,0.214,0.234
0.6526,0.2002,0.1472
0.1926,0.6142,0.1932
0.3876,0.3132,0.2992
0.41,0.384,0.206
0.401,0.3415,0.2575
0.2524,0.3226,0.425
0.4332,0.3174,0.2494
0.353,0.3084,0.3386
0.2864,0.3456,0.368
0.3002,0.3299,0.3699
0.512,0.3194,0.1686
0.3114,0.4102,0.2784
0.1712,0.5446,0.2842
0.2976,0.3628,0.3396
0.4684,0.2304,0.3012
0.4369,0.3481,0.215
0.3619,0.3666,0.2715
0.292,0.334,0.374
0.3646,0.2406,0.3948
0.304,0.367,0.329
0.4558,0.2192,0.325
0.2412,0.1568,0.602
0.81,0.063,0.127
0.4862,0.2264,0.2874
0.244,0.148,0.608
0.3978,0.2316,0.3706
0.4842,0.2882,0.2276
0.1803,0.353,0.4667
0.3448,0.1808,0.4744
0.2708,0.2761,0.4531
0.336,0.529,0.135
0.403,0.287,0.31
0.3488,0.4067,0.2445
0.6686,0.1526,0.1788
0.3812,0.3466,0.2722
0.2226,0.2366,0.5408
0.3348,0.3575,0.3077
0.384,0.292,0.324
0.3868,0.2601,0.3531
0.2732,0.2986,0.4282
0.472,0.4,0.128
0.3615,0.3051,0.3334
0.3154,0.3576,0.327
0.3082,0.2368,0.455
0.3472,0.2604,0.3924
0.2196,0.4688,0.3116
0.302,0.2598,0.4382
0.216,0.2692,0.5148
0.42,0.2542,0.3258
0.3173,0.4809,0.2018
0.3698,0.326,0.3042
0.4132,0.3272,0.2596
0.243,0.5586,0.1984
0.3989,0.2254,0.3757
0.3696,0.3104,0.32
0.6383,0.1872,0.1745
0.231,0.2846,0.4844
0.542,0.276,0.182
0.63,0.197,0.173
0.3685,0.4004,0.2311
0.3707,0.307,0.3223
0.3926,0.234,0.3734
0.4353,0.1508,0.4139
0.227,0.354,0.419
0.2698,0.1794,0.5508
0.3012,0.3529,0.3459
0.2627,0.2735,0.4638
0.2836,0.3194,0.397
0.4108,0.207,0.3822
0.3262,0.383,0.2908
0.4104,0.3004,0.2892
0.4692,0.2496,0.2812
0.4528,0.0976,0.4496
0.5104,0.2164,0.2732
0.5864,0.2717,0.1419
0.356,0.3664,0.2776
0.2084,0.2356,0.556
0.3778,0.3256,0.2966
0.4108,0.296,0.2932
0.4283,0.2533,0.3184
0.3404,0.387,0.2726
0.4753,0.3334,0.1913
0.1371,0.6113,0.2516
0.5132,0.1592,0.3276
0.464,0.2888,0.2472
0.4292,0.3459,0.2249
0.408,0.2696,0.3224
0.5096,0.3658,0.1246
0.3548,0.255,0.3902
0.1698,0.6884,0.1418
0.449,0.3182,0.2328
0.324,0.516,0.16
0.478,0.289,0.233
0.3696,0.3013,0.3291
0.426,0.315,0.259
0.291,0.474,0.235
0.2487,0.3385,0.4128
0.5202,0.1936,0.2862
0.4212,0.2205,0.3583
0.3992,0.4806,0.1202
0.3442,0.2137,0.4421
0.3934,0.2842,0.3224
0.7022,0.1912,0.1066
0.3948,0.258,0.3472
0.3356,0.4152,0.2492
0.3732,0.2815,0.3453
0.4293,0.2492,0.3215
0.2064,0.6159,0.1777
0.3936,0.3979,0.2085
0.197,0.3906,0.4124
0.2692,0.0931,0.6377
0.5766,0.1832,0.2402
0.4493,0.3587,0.192
0.197,0.562,0.241
0.2732,0.4284,0.2984
0.4814,0.2158,0.3028
0.3064,0.3102,0.3834
0.3858,0.2662,0.348
0.3512,0.3307,0.3181
0.3097,0.3512,0.3391
0.412,0.1916,0.3964
0.3814,0.3858,0.2328
0.3746,0.4528,0.1726
0.357,0.3002,0.3428
0.5154,0.2322,0.2524
0.3712,0.3045,0.3243
0.33,0.086,0.584
0.4277,0.2577,0.3146
0.6004,0.2058,0.1938
0.5838,0.209,0.2072
0.3336,0.1856,0.4808
0.255,0.3368,0.4082
0.52,0.406,0.074
0.4046,0.2556,0.3398
0.503,0.154,0.343
0.2831,0.3722,0.3447
0.501,0.2238,0.2752
0.3824,0.4099,0.2077
0.4318,0.1844,0.3838
0.31,0.368,0.322
0.634,0.2,0.166
0.44,0.276,0.284
0.531,0.289,0.18
0.3584,0.3312,0.3104
0.414,0.1974,0.3886
0.3376,0.3607,0.3017
0.644,0.312,0.044
0.3665,0.4901,0.1434
0.6076,0.0776,0.3148
0.2958,0.5194,0.1848
0.3132,0.2612,0.4256
0.481,0.3305,0.1885
0.3037,0.2752,0.4211
0.2598,0.4528,0.2874
0.7329,0.1628,0.1043
0.702,0.114,0.184
0.5718,0.2425,0.1857
0.393,0.4315,0.1755
0.4296,0.288,0.2824
0.485,0.2726,0.2424
0.5525,0.2185,0.229
0.4329,0.3099,0.2572
0.3438,0.3078,0.3484
0.4314,0.3722,0.1964
0.2598,0.3164,0.4238
0.2456,0.4044,0.35
0.356,0.272,0.372
0.443,0.348,0.209
0.4071,0.3039,0.289
0.4574,0.3718,0.1708
0.3346,0.4638,0.2016
0.481,0.249,0.27
0.3725,0.341,0.2865
0.506,0.2198,0.2742
0.3484,0.3044,0.3472
0.1158,0.2307,0.6535
0.4881,0.3016,0.2103
0.7195,0.1806,0.0999
0.4551,0.2467,0.2982
0.3146,0.2972,0.3882
0.4232,0.1976,0.3792
0.5911,0.2743,0.1346
0.2976,0.2983,0.4041
0.5132,0.2208,0.266
0.3349,0.4119,0.2532
0.4492,0.3396,0.2112
0.5744,0.2318,0.1938
0.3589,0.3076,0.3335
0.3912,0.3046,0.3042
0.2935,0.2704,0.4361
0.3238,0.3913,0.2849
0.2142,0.4048,0.381
0.1854,0.5554,0.2592
0.2822,0.2581,0.4597
0.3555,0.3945,0.25
0.566,0.247,0.187
0.3846,0.2642,0.3512
0.3945,0.3661,0.2394
0.3252,0.3968,0.278
0.351,0.3384,0.3106
0.506,0.195,0.299
0.4226,0.1986,0.3788
0.1295,0.3492,0.5213
0.1729,0.255,0.5721
0.624,0.251,0.125
0.3918,0.296,0.3122
0.496,0.2441,0.2599
0.278,0.5132,0.2088
0.2998,0.397,0.3032
0.3478,0.2662,0.386
0.3242,0.35,0.3258
0.485,0.2296,0.2854
0.473,0.3014,0.2256
0.3556,0.328,0.3164
0.2524,0.5669,0.1807
0.5386,0.0848,0.3766
0.3624,0.3994,0.2382
0.317,0.329,0.354
0.378,0.224,0.398
0.3746,0.314,0.3114
0.5064,0.1998,0.2938
0.504,0.196,0.3
0.3122,0.335,0.3528
0.4152,0.3216,0.2632
0.5816,0.3312,0.0872
0.343,0.225,0.432
0.5212,0.3646,0.1142
0.6035,0.2705,0.126
0.4278,0.2821,0.2901
0.433,0.487,0.08
0.4998,0.3348,0.1654
0.326,0.2774,0.3966
0.436,0.369,0.195
0.358,0.439,0.203
0.3438,0.3882,0.268
0.393,0.3218,0.2852
0.2128,0.4114,0.3758
0.5659,0.1882,0.2459
0.2538,0.3658,0.3804
0.5039,0.3091,0.187
0.3702,0.2546,0.3752
0.2174,0.2944,0.4882
0.3707,0.3765,0.2528
0.31,0.3053,0.3847
0.4114,0.303,0.2856
0.3154,0.3864,0.2982
0.2814,0.2318,0.4868
0.3592,0.2624,0.3784
0.3483,0.4096,0.2421
0.376,0.2992,0.3248
0.2354,0.416,0.3486
0.5616,0.233,0.2054
0.598,0.1932,0.2088
0.3073,0.3119,0.3808
0.4272,0.2938,0.279
0.305,0.448,0.247
0.2954,0.4133,0.2913
0.4232,0.3794,0.1974
0.6344,0.1858,0.1798
0.4423,0.2966,0.2611
0.515,0.2435,0.2415
0.2552,0.1904,0.5544
0.48,0.11,0.41
0.434,0.381,0.185
0.2656,0.2744,0.46
0.3061,0.4105,0.2834
0.4006,0.3712,0.2282
0.2752,0.2968,0.428
0.4248,0.2296,0.3456
0.2942,0.3745,0.3313
0.417,0.3826,0.2004
0.4818,0.3171,0.2011
