"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.15, 0.2), (0.25, 0.3), (0.5, 0.55)]",25,33,-0.138,1.107,0.293,125
"[(0.15, 0.2), (0.3, 0.35), (0.5, 0.55)]",5,31,-0.722,20.895,0.000,124
"[(0.15, 0.2), (0.3, 0.35), (0.45, 0.5)]",16,39,-0.418,9.920,0.002,123
"[(0.15, 0.2), (0.35, 0.4), (0.45, 0.5)]",5,22,-0.630,11.555,0.001,122
"[(0.15, 0.2), (0.35, 0.4), (0.4, 0.45)]",22,26,-0.083,0.334,0.563,121
"[(0.2, 0.25), (0.0, 0.05), (0.75, 0.8)]",0,0,,,,120
"[(0.2, 0.25), (0.0, 0.05), (0.7, 0.75)]",0,1,-1.000,1.386,0.239,119
"[(0.2, 0.25), (0.05, 0.1), (0.7, 0.75)]",0,3,-1.000,4.159,0.041,118
"[(0.2, 0.25), (0.05, 0.1), (0.65, 0.7)]",0,7,-1.000,9.704,0.002,117
"[(0.2, 0.25), (0.1, 0.15), (0.65, 0.7)]",5,8,-0.231,0.699,0.403,116
"[(0.2, 0.25), (0.1, 0.15), (0.6, 0.65)]",5,15,-0.500,5.232,0.022,115
"[(0.2, 0.25), (0.15, 0.2), (0.6, 0.65)]",1,21,-0.909,22.363,0.000,114
"[(0.2, 0.25), (0.15, 0.2), (0.55, 0.6)]",6,32,-0.684,19.531,0.000,113
"[(0.2, 0.25), (0.2, 0.25), (0.55, 0.6)]",33,79,-0.411,19.463,0.000,112
"[(0.2, 0.25), (0.2, 0.25), (0.5, 0.55)]",58,83,-0.177,4.456,0.035,111
"[(0.2, 0.25), (0.25, 0.3), (0.5, 0.55)]",54,46,0.080,0.641,0.423,110
"[(0.2, 0.25), (0.25, 0.3), (0.45, 0.5)]",111,117,-0.026,0.158,0.691,109
"[(0.2, 0.25), (0.3, 0.35), (0.45, 0.5)]",64,67,-0.023,0.069,0.793,108
"[(0.2, 0.25), (0.3, 0.35), (0.4, 0.45)]",136,112,0.097,2.326,0.127,107
"[(0.2, 0.25), (0.35, 0.4), (0.4, 0.45)]",60,88,-0.189,5.329,0.021,106
"[(0.25, 0.3), (0.0, 0.05), (0.7, 0.75)]",0,0,,,,105
"[(0.25, 0.3), (0.0, 0.05), (0.65, 0.7)]",0,0,,,,104
"[(0.25, 0.3), (0.05, 0.1), (0.65, 0.7)]",0,1,-1.000,1.386,0.239,103
"[(0.25, 0.3), (0.05, 0.1), (0.6, 0.65)]",3,0,1.000,4.159,0.041,102
"[(0.25, 0.3), (0.1, 0.15), (0.6, 0.65)]",5,5,0.000,-0.000,1.000,101
"[(0.25, 0.3), (0.1, 0.15), (0.55, 0.6)]",6,17,-0.478,5.482,0.019,100
"[(0.25, 0.3), (0.15, 0.2), (0.55, 0.6)]",18,29,-0.234,2.599,0.107,99
"[(0.25, 0.3), (0.15, 0.2), (0.5, 0.55)]",21,45,-0.364,8.931,0.003,98
"[(0.25, 0.3), (0.2, 0.25), (0.5, 0.55)]",39,92,-0.405,22.070,0.000,97
"[(0.25, 0.3), (0.2, 0.25), (0.45, 0.5)]",55,169,-0.509,60.825,0.000,96
"[(0.25, 0.3), (0.25, 0.3), (0.45, 0.5)]",107,246,-0.394,56.244,0.000,95
"[(0.25, 0.3), (0.25, 0.3), (0.4, 0.45)]",195,382,-0.324,61.713,0.000,94
"[(0.25, 0.3), (0.3, 0.35), (0.4, 0.45)]",236,309,-0.134,9.807,0.002,93
"[(0.25, 0.3), (0.3, 0.35), (0.35, 0.4)]",309,460,-0.196,29.844,0.000,92
"[(0.3, 0.35), (0.0, 0.05), (0.65, 0.7)]",0,0,,,,91
"[(0.3, 0.35), (0.0, 0.05), (0.6, 0.65)]",0,0,,,,90
"[(0.3, 0.35), (0.05, 0.1), (0.6, 0.65)]",1,0,1.000,1.386,0.239,89
"[(0.3, 0.35), (0.05, 0.1), (0.55, 0.6)]",2,3,-0.200,0.201,0.654,88
"[(0.3, 0.35), (0.1, 0.15), (0.55, 0.6)]",2,7,-0.556,2.942,0.086,87
"[(0.3, 0.35), (0.1, 0.15), (0.5, 0.55)]",1,8,-0.778,6.198,0.013,86
"[(0.3, 0.35), (0.15, 0.2), (0.5, 0.55)]",13,31,-0.409,7.584,0.006,85
"[(0.3, 0.35), (0.15, 0.2), (0.45, 0.5)]",15,44,-0.492,14.892,0.000,84
"[(0.3, 0.35), (0.2, 0.25), (0.45, 0.5)]",36,122,-0.544,49.449,0.000,83
"[(0.3, 0.35), (0.2, 0.25), (0.4, 0.45)]",50,206,-0.609,,0.000,82
