"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.15, 0.2), (0.1, 0.15), (0.65, 0.7)]",29,36,-0.108,0.755,0.385,131
"[(0.15, 0.2), (0.15, 0.2), (0.65, 0.7)]",32,20,0.231,2.794,0.095,130
"[(0.15, 0.2), (0.15, 0.2), (0.6, 0.65)]",25,42,-0.254,4.361,0.037,129
"[(0.15, 0.2), (0.2, 0.25), (0.6, 0.65)]",22,30,-0.154,1.236,0.266,128
"[(0.15, 0.2), (0.2, 0.25), (0.55, 0.6)]",30,34,-0.062,0.250,0.617,127
"[(0.15, 0.2), (0.25, 0.3), (0.55, 0.6)]",26,24,0.040,0.080,0.777,126
"[(0.15, 0.2), (0.25, 0.3), (0.5, 0.55)]",35,38,-0.041,0.123,0.725,125
"[(0.15, 0.2), (0.3, 0.35), (0.5, 0.55)]",28,24,0.077,0.308,0.579,124
"[(0.15, 0.2), (0.3, 0.35), (0.45, 0.5)]",34,27,0.115,0.805,0.370,123
"[(0.15, 0.2), (0.35, 0.4), (0.45, 0.5)]",30,28,0.034,0.069,0.793,122
"[(0.15, 0.2), (0.35, 0.4), (0.4, 0.45)]",18,38,-0.357,7.303,0.007,121
"[(0.2, 0.25), (0.0, 0.05), (0.75, 0.8)]",8,10,-0.111,0.223,0.637,120
"[(0.2, 0.25), (0.0, 0.05), (0.7, 0.75)]",17,15,0.062,0.125,0.724,119
"[(0.2, 0.25), (0.05, 0.1), (0.7, 0.75)]",20,23,-0.070,0.209,0.647,118
"[(0.2, 0.25), (0.05, 0.1), (0.65, 0.7)]",26,31,-0.088,0.439,0.508,117
"[(0.2, 0.25), (0.1, 0.15), (0.65, 0.7)]",35,38,-0.041,0.123,0.725,116
"[(0.2, 0.25), (0.1, 0.15), (0.6, 0.65)]",50,51,-0.010,0.010,0.921,115
"[(0.2, 0.25), (0.15, 0.2), (0.6, 0.65)]",42,44,-0.023,0.047,0.829,114
"[(0.2, 0.25), (0.15, 0.2), (0.55, 0.6)]",64,66,-0.015,0.031,0.861,113
"[(0.2, 0.25), (0.2, 0.25), (0.55, 0.6)]",69,73,-0.028,0.113,0.737,112
"[(0.2, 0.25), (0.2, 0.25), (0.5, 0.55)]",73,50,0.187,4.326,0.038,111
"[(0.2, 0.25), (0.25, 0.3), (0.5, 0.55)]",41,50,-0.099,0.892,0.345,110
"[(0.2, 0.25), (0.25, 0.3), (0.45, 0.5)]",90,80,0.059,0.589,0.443,109
"[(0.2, 0.25), (0.3, 0.35), (0.45, 0.5)]",61,49,0.109,1.312,0.252,108
"[(0.2, 0.25), (0.3, 0.35), (0.4, 0.45)]",67,76,-0.063,0.567,0.452,107
"[(0.2, 0.25), (0.35, 0.4), (0.4, 0.45)]",77,52,0.194,4.876,0.027,106
"[(0.25, 0.3), (0.0, 0.05), (0.7, 0.75)]",15,4,0.579,6.783,0.009,105
"[(0.25, 0.3), (0.0, 0.05), (0.65, 0.7)]",14,15,-0.034,0.034,0.853,104
"[(0.25, 0.3), (0.05, 0.1), (0.65, 0.7)]",25,23,0.042,0.083,0.773,103
"[(0.25, 0.3), (0.05, 0.1), (0.6, 0.65)]",36,28,0.125,1.003,0.317,102
"[(0.25, 0.3), (0.1, 0.15), (0.6, 0.65)]",29,47,-0.237,4.304,0.038,101
"[(0.25, 0.3), (0.1, 0.15), (0.55, 0.6)]",70,54,0.129,2.070,0.150,100
"[(0.25, 0.3), (0.15, 0.2), (0.55, 0.6)]",83,81,0.012,0.024,0.876,99
"[(0.25, 0.3), (0.15, 0.2), (0.5, 0.55)]",101,110,-0.043,0.384,0.535,98
"[(0.25, 0.3), (0.2, 0.25), (0.5, 0.55)]",108,109,-0.005,0.005,0.946,97
"[(0.25, 0.3), (0.2, 0.25), (0.45, 0.5)]",114,109,0.022,0.112,0.738,96
"[(0.25, 0.3), (0.25, 0.3), (0.45, 0.5)]",124,93,0.143,4.444,0.035,95
"[(0.25, 0.3), (0.25, 0.3), (0.4, 0.45)]",156,137,0.065,1.233,0.267,94
"[(0.25, 0.3), (0.3, 0.35), (0.4, 0.45)]",127,98,0.129,3.748,0.053,93
"[(0.25, 0.3), (0.3, 0.35), (0.35, 0.4)]",153,115,0.142,5.406,0.020,92
"[(0.3, 0.35), (0.0, 0.05), (0.65, 0.7)]",18,13,0.161,0.810,0.368,91
"[(0.3, 0.35), (0.0, 0.05), (0.6, 0.65)]",20,11,0.290,2.651,0.103,90
"[(0.3, 0.35), (0.05, 0.1), (0.6, 0.65)]",26,14,0.300,3.656,0.056,89
"[(0.3, 0.35), (0.05, 0.1), (0.55, 0.6)]",42,48,-0.067,0.400,0.527,88
"[(0.3, 0.35), (0.1, 0.15), (0.55, 0.6)]",49,50,-0.010,0.010,0.920,87
"[(0.3, 0.35), (0.1, 0.15), (0.5, 0.55)]",65,61,0.032,0.127,0.722,86
"[(0.3, 0.35), (0.15, 0.2), (0.5, 0.55)]",87,101,-0.074,1.044,0.307,85
"[(0.3, 0.35), (0.15, 0.2), (0.45, 0.5)]",122,125,-0.012,0.036,0.849,84
"[(0.3, 0.35), (0.2, 0.25), (0.45, 0.5)]",144,156,-0.040,0.480,0.488,83
"[(0.3, 0.35), (0.2, 0.25), (0.4, 0.45)]",163,182,-0.055,1.047,0.306,82
"[(0.3, 0.35), (0.25, 0.3), (0.4, 0.45)]",200,210,-0.024,0.244,0.621,81
"[(0.3, 0.35), (0.25, 0.3), (0.35, 0.4)]",230,231,-0.002,0.002,0.963,80
"[(0.3, 0.35), (0.3, 0.35), (0.35, 0.4)]",230,216,0.031,0.440,0.507,79
"[(0.35, 0.4), (0.0, 0.05), (0.6, 0.65)]",12,9,0.143,0.430,0.512,78
"[(0.35, 0.4), (0.0, 0.05), (0.55, 0.6)]",15,20,-0.143,0.717,0.397,77
"[(0.35, 0.4), (0.05, 0.1), (0.55, 0.6)]",31,30,0.016,0.016,0.898,76
"[(0.35, 0.4), (0.05, 0.1), (0.5, 0.55)]",44,50,-0.064,0.383,0.536,75
"[(0.35, 0.4), (0.1, 0.15), (0.5, 0.55)]",65,75,-0.071,0.715,0.398,74
"[(0.35, 0.4), (0.1, 0.15), (0.45, 0.5)]",90,92,-0.011,0.022,0.882,73
"[(0.35, 0.4), (0.15, 0.2), (0.45, 0.5)]",125,117,0.033,0.265,0.607,72
"[(0.35, 0.4), (0.15, 0.2), (0.4, 0.45)]",139,179,-0.126,5.045,0.025,71
"[(0.35, 0.4), (0.2, 0.25), (0.4, 0.45)]",216,199,0.041,0.697,0.404,70
"[(0.35, 0.4), (0.2, 0.25), (0.35, 0.4)]",256,255,0.002,0.002,0.965,69
"[(0.35, 0.4), (0.25, 0.3), (0.35, 0.4)]",285,315,-0.050,1.501,0.221,68
"[(0.35, 0.4), (0.25, 0.3), (0.3, 0.35)]",354,327,0.040,1.071,0.301,67
"[(0.4, 0.45), (0.0, 0.05), (0.55, 0.6)]",16,11,0.185,0.931,0.335,66
"[(0.4, 0.45), (0.0, 0.05), (0.5, 0.55)]",22,17,0.128,0.643,0.423,65
"[(0.4, 0.45), (0.05, 0.1), (0.5, 0.55)]",48,39,0.103,0.933,0.334,64
"[(0.4, 0.45), (0.05, 0.1), (0.45, 0.5)]",62,44,0.170,3.071,0.080,63
"[(0.4, 0.45), (0.1, 0.15), (0.45, 0.5)]",74,53,0.165,3.488,0.062,62
"[(0.4, 0.45), (0.1, 0.15), (0.4, 0.45)]",102,127,-0.109,2.735,0.098,61
"[(0.4, 0.45), (0.15, 0.2), (0.4, 0.45)]",113,139,-0.103,2.687,0.101,60
"[(0.4, 0.45), (0.15, 0.2), (0.35, 0.4)]",189,149,0.118,4.745,0.029,59
"[(0.4, 0.45), (0.2, 0.25), (0.35, 0.4)]",263,271,-0.015,0.120,0.729,58
"[(0.4, 0.45), (0.2, 0.25), (0.3, 0.35)]",298,310,-0.020,0.237,0.626,57
"[(0.4, 0.45), (0.25, 0.3), (0.3, 0.35)]",403,365,0.049,1.881,0.170,56
"[(0.45, 0.5), (0.0, 0.05), (0.5, 0.55)]",15,22,-0.189,1.332,0.248,55
"[(0.45, 0.5), (0.0, 0.05), (0.45, 0.5)]",21,21,0.000,-0.000,1.000,54
"[(0.45, 0.5), (0.05, 0.1), (0.45, 0.5)]",30,37,-0.104,0.733,0.392,53
"[(0.45, 0.5), (0.05, 0.1), (0.4, 0.45)]",63,45,0.167,3.014,0.083,52
"[(0.45, 0.5), (0.1, 0.15), (0.4, 0.45)]",72,86,-0.089,1.242,0.265,51
"[(0.45, 0.5), (0.1, 0.15), (0.35, 0.4)]",114,117,-0.013,0.039,0.844,50
"[(0.45, 0.5), (0.15, 0.2), (0.35, 0.4)]",167,170,-0.009,0.027,0.870,49
"[(0.45, 0.5), (0.15, 0.2), (0.3, 0.35)]",199,202,-0.007,0.022,0.881,48
"[(0.45, 0.5), (0.2, 0.25), (0.3, 0.35)]",294,272,0.039,0.855,0.355,47
"[(0.45, 0.5), (0.2, 0.25), (0.25, 0.3)]",362,346,0.023,0.362,0.548,46
"[(0.5, 0.55), (0.0, 0.05), (0.45, 0.5)]",18,12,0.200,1.208,0.272,45
"[(0.5, 0.55), (0.0, 0.05), (0.4, 0.45)]",19,24,-0.116,0.583,0.445,44
"[(0.5, 0.55), (0.05, 0.1), (0.4, 0.45)]",41,46,-0.057,0.288,0.592,43
"[(0.5, 0.55), (0.05, 0.1), (0.35, 0.4)]",44,53,-0.093,0.836,0.360,42
"[(0.5, 0.55), (0.1, 0.15), (0.35, 0.4)]",106,121,-0.066,0.992,0.319,41
"[(0.5, 0.55), (0.1, 0.15), (0.3, 0.35)]",123,104,0.084,1.592,0.207,40
"[(0.5, 0.55), (0.15, 0.2), (0.3, 0.35)]",158,179,-0.062,1.309,0.252,39
"[(0.5, 0.55), (0.15, 0.2), (0.25, 0.3)]",225,228,-0.007,0.020,0.888,38
"[(0.5, 0.55), (0.2, 0.25), (0.25, 0.3)]",322,360,-0.056,2.118,0.146,37
"[(0.55, 0.6), (0.0, 0.05), (0.4, 0.45)]",32,22,0.185,1.863,0.172,36
"[(0.55, 0.6), (0.0, 0.05), (0.35, 0.4)]",31,19,0.240,2.908,0.088,35
"[(0.55, 0.6), (0.05, 0.1), (0.35, 0.4)]",47,66,-0.168,3.210,0.073,34
"[(0.55, 0.6), (0.05, 0.1), (0.3, 0.35)]",55,71,-0.127,2.037,0.153,33
"[(0.55, 0.6), (0.1, 0.15), (0.3, 0.35)]",110,98,0.058,0.693,0.405,32
"[(0.55, 0.6), (0.1, 0.15), (0.25, 0.3)]",141,159,-0.060,1.081,0.299,31
"[(0.55, 0.6), (0.15, 0.2), (0.25, 0.3)]",199,195,0.010,0.041,0.840,30
"[(0.55, 0.6), (0.15, 0.2), (0.2, 0.25)]",259,271,-0.023,0.272,0.602,29
"[(0.6, 0.65), (0.0, 0.05), (0.35, 0.4)]",29,26,0.055,0.164,0.686,28
"[(0.6, 0.65), (0.0, 0.05), (0.3, 0.35)]",34,34,0.000,-0.000,1.000,27
"[(0.6, 0.65), (0.05, 0.1), (0.3, 0.35)]",54,57,-0.027,0.081,0.776,26
"[(0.6, 0.65), (0.05, 0.1), (0.25, 0.3)]",77,91,-0.083,1.168,0.280,25
"[(0.6, 0.65), (0.1, 0.15), (0.25, 0.3)]",116,113,0.013,0.039,0.843,24
"[(0.6, 0.65), (0.1, 0.15), (0.2, 0.25)]",177,166,0.032,0.353,0.553,23
"[(0.6, 0.65), (0.15, 0.2), (0.2, 0.25)]",239,239,0.000,-0.000,1.000,22
"[(0.65, 0.7), (0.0, 0.05), (0.3, 0.35)]",29,28,0.018,0.018,0.895,21
"[(0.65, 0.7), (0.0, 0.05), (0.25, 0.3)]",37,48,-0.129,1.428,0.232,20
"[(0.65, 0.7), (0.05, 0.1), (0.25, 0.3)]",67,62,0.039,0.194,0.660,19
"[(0.65, 0.7), (0.05, 0.1), (0.2, 0.25)]",102,83,0.103,1.955,0.162,18
"[(0.65, 0.7), (0.1, 0.15), (0.2, 0.25)]",129,138,-0.034,0.303,0.582,17
"[(0.65, 0.7), (0.1, 0.15), (0.15, 0.2)]",166,182,-0.046,0.736,0.391,16
"[(0.7, 0.75), (0.0, 0.05), (0.25, 0.3)]",32,36,-0.059,0.235,0.628,15
"[(0.7, 0.75), (0.0, 0.05), (0.2, 0.25)]",38,43,-0.062,0.309,0.578,14
"[(0.7, 0.75), (0.05, 0.1), (0.2, 0.25)]",74,67,0.050,0.348,0.555,13
"[(0.7, 0.75), (0.05, 0.1), (0.15, 0.2)]",100,98,0.010,0.020,0.887,12
"[(0.7, 0.75), (0.1, 0.15), (0.15, 0.2)]",163,190,-0.076,2.067,0.151,11
"[(0.75, 0.8), (0.0, 0.05), (0.2, 0.25)]",48,51,-0.030,0.091,0.763,10
"[(0.75, 0.8), (0.0, 0.05), (0.15, 0.2)]",61,49,0.109,1.312,0.252,9
"[(0.75, 0.8), (0.05, 0.1), (0.15, 0.2)]",89,90,-0.006,0.006,0.940,8
"[(0.75, 0.8), (0.05, 0.1), (0.1, 0.15)]",125,134,-0.035,0.313,0.576,7
"[(0.8, 0.85), (0.0, 0.05), (0.15, 0.2)]",69,53,0.131,2.104,0.147,6
"[(0.8, 0.85), (0.0, 0.05), (0.1, 0.15)]",79,66,0.090,1.167,0.280,5
"[(0.8, 0.85), (0.05, 0.1), (0.1, 0.15)]",123,138,-0.057,0.863,0.353,4
"[(0.85, 0.9), (0.0, 0.05), (0.1, 0.15)]",88,59,0.197,5.759,0.016,3
"[(0.85, 0.9), (0.0, 0.05), (0.05, 0.1)]",91,105,-0.071,1.001,0.317,2
"[(0.9, 0.95), (0.0, 0.05), (0.05, 0.1)]",118,115,0.013,0.039,0.844,1
