index,"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test)
full dataset,NA,14885,14769,0.003911782558845349,0.45376793409290933,0.5005510324789684
1,"[(0.5, 0.75), (0.0, 0.25), (0.25, 0.5)]",2272,2301,-0.006341570085283184,0.18390676513509407,0.6680371048044303
2,"[(0.25, 0.5), (0.0, 0.25), (0.25, 0.5)]",3713,3706,0.0009435233859010648,0.006604664681258464,0.9352279567705775
3,"[(0.25, 0.5), (0.0, 0.25), (0.5, 0.75)]",1126,1161,-0.01530389156099694,0.5356571150725609,0.46423815272620905
4,"[(0.0, 0.25), (0.25, 0.5), (0.5, 0.75)]",250,230,0.041666666666666664,0.8335746274814352,0.36124092068301683
5,"[(0.0, 0.25), (0.0, 0.25), (0.5, 0.75)]",676,632,0.03363914373088685,1.4804015996834374,0.22371169887969644
6,"[(0.0, 0.25), (0.0, 0.25), (0.75, 1.0)]",172,163,0.026865671641791045,0.2418201392012166,0.6228945940655237
