"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.0, 0.25), (0.0, 0.25), (0.75, 1.0)]",760,798,-0.024390243902439025,0.9269211828158879,0.33566423378093,6
"[(0.0, 0.25), (0.0, 0.25), (0.5, 0.75)]",529,558,-0.02667893284268629,0.7737808594355409,0.3790499486140412,5
"[(0.0, 0.25), (0.25, 0.5), (0.5, 0.75)]",253,264,-0.02127659574468085,0.23406021464790056,0.6285294474477658,4
"[(0.25, 0.5), (0.0, 0.25), (0.5, 0.75)]",1703,1607,0.029003021148036254,2.784680507580831,0.09516967146748911,3
"[(0.25, 0.5), (0.0, 0.25), (0.25, 0.5)]",2150,2102,0.011288805268109126,0.5418741623589987,0.4616570490413664,2
"[(0.5, 0.75), (0.0, 0.25), (0.25, 0.5)]",2643,2703,-0.01122334455667789,0.6734148114269616,0.41186357575721255,1
