"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,14749,14887,-0.005,0.643,0.423,NA
"[(0.0, 0.05), (0.0, 0.05), (0.95, 1.0)]",5,6,-0.091,0.091,0.763,190
"[(0.0, 0.05), (0.0, 0.05), (0.9, 0.95)]",2,4,-0.333,0.680,0.410,189
"[(0.0, 0.05), (0.05, 0.1), (0.9, 0.95)]",3,0,1.000,4.159,0.041,188
"[(0.0, 0.05), (0.05, 0.1), (0.85, 0.9)]",4,2,0.333,0.680,0.410,187
"[(0.0, 0.05), (0.1, 0.15), (0.85, 0.9)]",0,2,-1.000,2.773,0.096,186
"[(0.0, 0.05), (0.1, 0.15), (0.8, 0.85)]",0,1,-1.000,1.386,0.239,185
"[(0.0, 0.05), (0.15, 0.2), (0.8, 0.85)]",0,2,-1.000,2.773,0.096,184
"[(0.0, 0.05), (0.15, 0.2), (0.75, 0.8)]",1,2,-0.333,0.340,0.560,183
"[(0.0, 0.05), (0.2, 0.25), (0.75, 0.8)]",1,2,-0.333,0.340,0.560,182
"[(0.0, 0.05), (0.2, 0.25), (0.7, 0.75)]",3,2,0.200,0.201,0.654,181
"[(0.0, 0.05), (0.25, 0.3), (0.7, 0.75)]",1,0,1.000,1.386,0.239,180
"[(0.0, 0.05), (0.25, 0.3), (0.65, 0.7)]",1,1,0.000,-0.000,1.000,179
"[(0.0, 0.05), (0.3, 0.35), (0.65, 0.7)]",3,1,0.500,1.046,0.306,178
"[(0.0, 0.05), (0.3, 0.35), (0.6, 0.65)]",0,3,-1.000,4.159,0.041,177
"[(0.0, 0.05), (0.35, 0.4), (0.6, 0.65)]",1,1,0.000,-0.000,1.000,176
"[(0.0, 0.05), (0.35, 0.4), (0.55, 0.6)]",1,3,-0.500,1.046,0.306,175
"[(0.0, 0.05), (0.4, 0.45), (0.55, 0.6)]",0,0,,,,174
"[(0.0, 0.05), (0.4, 0.45), (0.5, 0.55)]",2,2,0.000,-0.000,1.000,173
"[(0.0, 0.05), (0.45, 0.5), (0.5, 0.55)]",0,1,-1.000,1.386,0.239,172
"[(0.05, 0.1), (0.0, 0.05), (0.9, 0.95)]",9,5,0.286,1.159,0.282,171
"[(0.05, 0.1), (0.0, 0.05), (0.85, 0.9)]",9,2,0.636,4.818,0.028,170
