"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,14890,14874,0.001,0.009,0.926,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",8,8,0.000,-0.000,1.000,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",15,21,-0.167,1.005,0.316,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",9,4,0.385,1.974,0.160,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",16,14,0.067,0.133,0.715,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",5,9,-0.286,1.159,0.282,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",17,15,0.062,0.125,0.724,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",8,3,0.455,2.358,0.125,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",16,10,0.231,1.397,0.237,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",5,5,0.000,-0.000,1.000,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",35,35,0.000,-0.000,1.000,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",69,64,0.038,0.188,0.665,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",54,59,-0.044,0.221,0.638,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",97,109,-0.058,0.699,0.403,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",57,56,0.009,0.009,0.925,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",105,112,-0.032,0.226,0.635,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",60,57,0.026,0.077,0.781,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",103,108,-0.024,0.118,0.731,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",60,52,0.071,0.572,0.449,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",101,97,0.020,0.081,0.776,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",156,180,-0.071,1.716,0.190,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",318,311,0.011,0.078,0.780,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",291,282,0.016,0.141,0.707,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",484,419,0.072,4.683,0.030,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",332,275,0.094,5.360,0.021,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",76,47,0.236,6.902,0.009,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",132,148,-0.057,0.915,0.339,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",266,287,-0.038,0.798,0.372,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",476,513,-0.037,1.385,0.239,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",723,747,-0.016,0.392,0.531,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",1125,1128,-0.001,0.004,0.950,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",101,89,0.063,0.758,0.384,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",176,147,0.090,2.607,0.106,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",361,405,-0.057,2.529,0.112,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",669,638,0.024,0.735,0.391,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",1258,1218,0.016,0.646,0.421,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",110,104,0.028,0.168,0.682,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",177,209,-0.083,2.656,0.103,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",497,502,-0.005,0.025,0.874,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",824,853,-0.017,0.502,0.479,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",146,145,0.003,0.003,0.953,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",283,284,-0.002,0.002,0.967,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",661,656,0.004,0.019,0.890,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",192,197,-0.013,0.064,0.800,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",375,371,0.005,0.021,0.884,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",359,316,0.064,2.741,0.098,1
