index,"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test)
full dataset,NA,15674,14018,0.055772598679779066,,0.0
1,"[(0.5, 0.75), (0.0, 0.25), (0.25, 0.5)]",2199,2155,0.010105649977032614,0.44465616752616693,0.5048836407678998
2,"[(0.25, 0.5), (0.0, 0.25), (0.25, 0.5)]",3793,3411,0.05302609661299278,20.265472109121397,6.740612671807256e-06
3,"[(0.25, 0.5), (0.0, 0.25), (0.5, 0.75)]",1288,1061,0.09663686675180928,21.970840049156962,2.7682454198929562e-06
4,"[(0.0, 0.25), (0.25, 0.5), (0.5, 0.75)]",333,220,0.20433996383363473,23.253850737611888,1.419659145462937e-06
5,"[(0.0, 0.25), (0.0, 0.25), (0.5, 0.75)]",935,605,0.21428571428571427,71.26565825615592,0.0
6,"[(0.0, 0.25), (0.0, 0.25), (0.75, 1.0)]",275,164,0.2528473804100228,28.37303189458279,1.00049367346422e-07
