"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.15, 0.2), (0.35, 0.4), (0.45, 0.5)]",2,1,0.333,0.340,0.560,122
"[(0.15, 0.2), (0.35, 0.4), (0.4, 0.45)]",3,0,1.000,4.159,0.041,121
"[(0.2, 0.25), (0.0, 0.05), (0.75, 0.8)]",0,0,,,,120
"[(0.2, 0.25), (0.0, 0.05), (0.7, 0.75)]",0,0,,,,119
"[(0.2, 0.25), (0.05, 0.1), (0.7, 0.75)]",0,0,,,,118
"[(0.2, 0.25), (0.05, 0.1), (0.65, 0.7)]",0,0,,,,117
"[(0.2, 0.25), (0.1, 0.15), (0.65, 0.7)]",0,0,,,,116
"[(0.2, 0.25), (0.1, 0.15), (0.6, 0.65)]",2,0,1.000,2.773,0.096,115
"[(0.2, 0.25), (0.15, 0.2), (0.6, 0.65)]",1,1,0.000,-0.000,1.000,114
"[(0.2, 0.25), (0.15, 0.2), (0.55, 0.6)]",0,3,-1.000,4.159,0.041,113
"[(0.2, 0.25), (0.2, 0.25), (0.55, 0.6)]",1,2,-0.333,0.340,0.560,112
"[(0.2, 0.25), (0.2, 0.25), (0.5, 0.55)]",2,4,-0.333,0.680,0.410,111
"[(0.2, 0.25), (0.25, 0.3), (0.5, 0.55)]",4,0,1.000,5.545,0.019,110
"[(0.2, 0.25), (0.25, 0.3), (0.45, 0.5)]",5,2,0.429,1.328,0.249,109
"[(0.2, 0.25), (0.3, 0.35), (0.45, 0.5)]",2,5,-0.429,1.328,0.249,108
"[(0.2, 0.25), (0.3, 0.35), (0.4, 0.45)]",4,5,-0.111,0.111,0.739,107
"[(0.2, 0.25), (0.35, 0.4), (0.4, 0.45)]",4,2,0.333,0.680,0.410,106
"[(0.25, 0.3), (0.0, 0.05), (0.7, 0.75)]",0,0,,,,105
"[(0.25, 0.3), (0.0, 0.05), (0.65, 0.7)]",0,0,,,,104
"[(0.25, 0.3), (0.05, 0.1), (0.65, 0.7)]",1,0,1.000,1.386,0.239,103
"[(0.25, 0.3), (0.05, 0.1), (0.6, 0.65)]",2,0,1.000,2.773,0.096,102
"[(0.25, 0.3), (0.1, 0.15), (0.6, 0.65)]",1,0,1.000,1.386,0.239,101
"[(0.25, 0.3), (0.1, 0.15), (0.55, 0.6)]",1,0,1.000,1.386,0.239,100
"[(0.25, 0.3), (0.15, 0.2), (0.55, 0.6)]",3,1,0.500,1.046,0.306,99
"[(0.25, 0.3), (0.15, 0.2), (0.5, 0.55)]",3,6,-0.333,1.019,0.313,98
"[(0.25, 0.3), (0.2, 0.25), (0.5, 0.55)]",1,3,-0.500,1.046,0.306,97
"[(0.25, 0.3), (0.2, 0.25), (0.45, 0.5)]",4,5,-0.111,0.111,0.739,96
"[(0.25, 0.3), (0.25, 0.3), (0.45, 0.5)]",14,3,0.647,7.723,0.005,95
"[(0.25, 0.3), (0.25, 0.3), (0.4, 0.45)]",11,10,0.048,0.048,0.827,94
"[(0.25, 0.3), (0.3, 0.35), (0.4, 0.45)]",10,6,0.250,1.011,0.315,93
"[(0.25, 0.3), (0.3, 0.35), (0.35, 0.4)]",10,14,-0.167,0.670,0.413,92
"[(0.3, 0.35), (0.0, 0.05), (0.65, 0.7)]",0,0,,,,91
"[(0.3, 0.35), (0.0, 0.05), (0.6, 0.65)]",0,1,-1.000,1.386,0.239,90
"[(0.3, 0.35), (0.05, 0.1), (0.6, 0.65)]",0,1,-1.000,1.386,0.239,89
"[(0.3, 0.35), (0.05, 0.1), (0.55, 0.6)]",1,0,1.000,1.386,0.239,88
"[(0.3, 0.35), (0.1, 0.15), (0.55, 0.6)]",1,0,1.000,1.386,0.239,87
"[(0.3, 0.35), (0.1, 0.15), (0.5, 0.55)]",0,2,-1.000,2.773,0.096,86
"[(0.3, 0.35), (0.15, 0.2), (0.5, 0.55)]",0,5,-1.000,6.931,0.008,85
"[(0.3, 0.35), (0.15, 0.2), (0.45, 0.5)]",3,5,-0.250,0.505,0.477,84
"[(0.3, 0.35), (0.2, 0.25), (0.45, 0.5)]",7,8,-0.067,0.067,0.796,83
"[(0.3, 0.35), (0.2, 0.25), (0.4, 0.45)]",9,13,-0.182,0.731,0.392,82
"[(0.3, 0.35), (0.25, 0.3), (0.4, 0.45)]",11,8,0.158,0.476,0.490,81
"[(0.3, 0.35), (0.25, 0.3), (0.35, 0.4)]",16,22,-0.158,0.951,0.329,80
"[(0.3, 0.35), (0.3, 0.35), (0.35, 0.4)]",21,20,0.024,0.024,0.876,79
"[(0.35, 0.4), (0.0, 0.05), (0.6, 0.65)]",0,0,,,,78
"[(0.35, 0.4), (0.0, 0.05), (0.55, 0.6)]",1,0,1.000,1.386,0.239,77
"[(0.35, 0.4), (0.05, 0.1), (0.55, 0.6)]",0,0,,,,76
"[(0.35, 0.4), (0.05, 0.1), (0.5, 0.55)]",0,0,,,,75
"[(0.35, 0.4), (0.1, 0.15), (0.5, 0.55)]",3,0,1.000,4.159,0.041,74
"[(0.35, 0.4), (0.1, 0.15), (0.45, 0.5)]",0,4,-1.000,5.545,0.019,73
"[(0.35, 0.4), (0.15, 0.2), (0.45, 0.5)]",0,3,-1.000,4.159,0.041,72
"[(0.35, 0.4), (0.15, 0.2), (0.4, 0.45)]",2,3,-0.200,0.201,0.654,71
"[(0.35, 0.4), (0.2, 0.25), (0.4, 0.45)]",7,7,0.000,-0.000,1.000,70
"[(0.35, 0.4), (0.2, 0.25), (0.35, 0.4)]",14,17,-0.097,0.291,0.590,69
"[(0.35, 0.4), (0.25, 0.3), (0.35, 0.4)]",27,14,0.317,4.194,0.041,68
"[(0.35, 0.4), (0.25, 0.3), (0.3, 0.35)]",29,18,0.234,2.599,0.107,67
