T1_bounds,T2_bounds,T3_bounds,count_data,count_model,prop_data,prop_model,prop_residual,residual_squared,count_residual
"(0.05, 0.1)","(0.05, 0.1)","(0.8, 0.85)",1,2,3.3742745309758405e-05,6.670891564657616e-05,-3.296617033681776e-05,1.086768386676083e-09,-1
"(0.05, 0.1)","(0.1, 0.15)","(0.8, 0.85)",7,0,0.00023619921716830881,0.0,0.00023619921716830881,5.579007019092191e-08,7
"(0.05, 0.1)","(0.1, 0.15)","(0.75, 0.8)",5,2,0.00016871372654879202,6.670891564657616e-05,0.00010200481090221585,1.0404981447196813e-08,3
"(0.05, 0.1)","(0.15, 0.2)","(0.75, 0.8)",6,1,0.00020245647185855042,3.335445782328808e-05,0.00016910201403526234,2.8595491150782062e-08,5
"(0.05, 0.1)","(0.15, 0.2)","(0.7, 0.75)",6,2,0.00020245647185855042,6.670891564657616e-05,0.00013574755621197424,1.8427399017523105e-08,4
"(0.05, 0.1)","(0.2, 0.25)","(0.7, 0.75)",2,0,6.748549061951681e-05,0.0,6.748549061951681e-05,4.554291444156891e-09,2
"(0.05, 0.1)","(0.2, 0.25)","(0.65, 0.7)",7,1,0.00023619921716830881,3.335445782328808e-05,0.00020284475934502074,4.1145996393739376e-08,6
"(0.05, 0.1)","(0.25, 0.3)","(0.65, 0.7)",3,0,0.00010122823592927521,0.0,0.00010122823592927521,1.0247155749353004e-08,3
"(0.05, 0.1)","(0.25, 0.3)","(0.6, 0.65)",9,1,0.0003036847077878256,3.335445782328808e-05,0.0002703302499645375,7.307844404588933e-08,8
"(0.05, 0.1)","(0.3, 0.35)","(0.6, 0.65)",5,0,0.00016871372654879202,0.0,0.00016871372654879202,2.846432152598057e-08,5
"(0.05, 0.1)","(0.3, 0.35)","(0.55, 0.6)",4,0,0.00013497098123903362,0.0,0.00013497098123903362,1.8217165776627565e-08,4
"(0.05, 0.1)","(0.35, 0.4)","(0.55, 0.6)",2,1,6.748549061951681e-05,3.335445782328808e-05,3.413103279622873e-05,1.164927399737241e-09,1
"(0.05, 0.1)","(0.35, 0.4)","(0.5, 0.55)",4,1,0.00013497098123903362,3.335445782328808e-05,0.00010161652341574554,1.0325917831102763e-08,3
"(0.05, 0.1)","(0.4, 0.45)","(0.5, 0.55)",8,0,0.00026994196247806724,0.0,0.00026994196247806724,7.286866310651026e-08,8
"(0.05, 0.1)","(0.4, 0.45)","(0.45, 0.5)",10,2,0.00033742745309758404,6.670891564657616e-05,0.0002707185374510079,7.328852651961276e-08,8
"(0.05, 0.1)","(0.45, 0.5)","(0.45, 0.5)",3,0,0.00010122823592927521,0.0,0.00010122823592927521,1.0247155749353004e-08,3
"(0.05, 0.1)","(0.45, 0.5)","(0.4, 0.45)",7,2,0.00023619921716830881,6.670891564657616e-05,0.00016949030152173266,2.8726962309927854e-08,5
"(0.05, 0.1)","(0.5, 0.55)","(0.4, 0.45)",3,0,0.00010122823592927521,0.0,0.00010122823592927521,1.0247155749353004e-08,3
"(0.05, 0.1)","(0.5, 0.55)","(0.35, 0.4)",5,1,0.00016871372654879202,3.335445782328808e-05,0.00013535926872550394,1.832213162990319e-08,4
"(0.05, 0.1)","(0.55, 0.6)","(0.35, 0.4)",2,2,6.748549061951681e-05,6.670891564657616e-05,7.765749729406451e-07,6.030686885977636e-13,0
"(0.05, 0.1)","(0.55, 0.6)","(0.3, 0.35)",6,2,0.00020245647185855042,6.670891564657616e-05,0.00013574755621197424,1.8427399017523105e-08,4
"(0.05, 0.1)","(0.6, 0.65)","(0.3, 0.35)",3,0,0.00010122823592927521,0.0,0.00010122823592927521,1.0247155749353004e-08,3
"(0.05, 0.1)","(0.6, 0.65)","(0.25, 0.3)",4,1,0.00013497098123903362,3.335445782328808e-05,0.00010161652341574554,1.0325917831102763e-08,3
"(0.05, 0.1)","(0.65, 0.7)","(0.25, 0.3)",6,0,0.00020245647185855042,0.0,0.00020245647185855042,4.0988622997412016e-08,6
"(0.05, 0.1)","(0.65, 0.7)","(0.2, 0.25)",7,0,0.00023619921716830881,0.0,0.00023619921716830881,5.579007019092191e-08,7
"(0.05, 0.1)","(0.7, 0.75)","(0.2, 0.25)",3,0,0.00010122823592927521,0.0,0.00010122823592927521,1.0247155749353004e-08,3
"(0.05, 0.1)","(0.7, 0.75)","(0.15, 0.2)",7,1,0.00023619921716830881,3.335445782328808e-05,0.00020284475934502074,4.1145996393739376e-08,6
"(0.05, 0.1)","(0.75, 0.8)","(0.15, 0.2)",5,1,0.00016871372654879202,3.335445782328808e-05,0.00013535926872550394,1.832213162990319e-08,4
"(0.05, 0.1)","(0.75, 0.8)","(0.1, 0.15)",4,3,0.00013497098123903362,0.00010006337346986425,3.4907607769169366e-05,1.2185410801661734e-09,1
"(0.05, 0.1)","(0.8, 0.85)","(0.1, 0.15)",5,0,0.00016871372654879202,0.0,0.00016871372654879202,2.846432152598057e-08,5
"(0.05, 0.1)","(0.8, 0.85)","(0.05, 0.1)",7,2,0.00023619921716830881,6.670891564657616e-05,0.00016949030152173266,2.8726962309927854e-08,5
"(0.05, 0.1)","(0.85, 0.9)","(0.05, 0.1)",5,0,0.00016871372654879202,0.0,0.00016871372654879202,2.846432152598057e-08,5
"(0.05, 0.1)","(0.85, 0.9)","(0.0, 0.05)",2,1,6.748549061951681e-05,3.335445782328808e-05,3.413103279622873e-05,1.164927399737241e-09,1
"(0.05, 0.1)","(0.9, 0.95)","(0.0, 0.05)",5,1,0.00016871372654879202,3.335445782328808e-05,0.00013535926872550394,1.832213162990319e-08,4
"(0.1, 0.15)","(0.0, 0.05)","(0.85, 0.9)",13,1,0.0004386556890268592,3.335445782328808e-05,0.0004053012312035711,1.642690880151306e-07,12
"(0.1, 0.15)","(0.0, 0.05)","(0.8, 0.85)",11,0,0.0003711701984073424,0.0,0.0003711701984073424,1.3776731618574593e-07,11
"(0.1, 0.15)","(0.05, 0.1)","(0.8, 0.85)",15,3,0.000506141179646376,0.00010006337346986425,0.00040607780617651175,1.6489918466912864e-07,12
"(0.1, 0.15)","(0.05, 0.1)","(0.75, 0.8)",13,3,0.0004386556890268592,0.00010006337346986425,0.00033859231555699495,1.1464475615424764e-07,10
"(0.1, 0.15)","(0.1, 0.15)","(0.75, 0.8)",8,7,0.00026994196247806724,0.00023348120476301658,3.6460757715050656e-05,1.329386853155626e-09,1
"(0.1, 0.15)","(0.1, 0.15)","(0.7, 0.75)",21,8,0.0007085976515049264,0.00026683566258630466,0.0004417619889186218,1.951536548533365e-07,13
"(0.1, 0.15)","(0.15, 0.2)","(0.7, 0.75)",14,2,0.00047239843433661763,6.670891564657616e-05,0.0004056895186900415,1.645839855749575e-07,12
"(0.1, 0.15)","(0.15, 0.2)","(0.65, 0.7)",14,5,0.00047239843433661763,0.0001667722891164404,0.0003056261452201772,9.340734064214486e-08,9
"(0.1, 0.15)","(0.2, 0.25)","(0.65, 0.7)",8,2,0.00026994196247806724,6.670891564657616e-05,0.0002032330468314911,4.130367132441105e-08,6
"(0.1, 0.15)","(0.2, 0.25)","(0.6, 0.65)",16,6,0.0005398839249561345,0.0002001267469397285,0.00033975717801640597,1.1543494001367178e-07,10
"(0.1, 0.15)","(0.25, 0.3)","(0.6, 0.65)",9,0,0.0003036847077878256,0.0,0.0003036847077878256,9.222440174417703e-08,9
