triangle_id,T1_bounds,T2_bounds,T3_bounds,count_data,count_model,residual,residual_squared,prop_data,prop_model,prop_residual
54,"(0.05, 0.1)","(0.35, 0.4)","(0.5, 0.55)",0,0,0,0,0.0,0.0,0.0
55,"(0.05, 0.1)","(0.4, 0.45)","(0.5, 0.55)",0,0,0,0,0.0,0.0,0.0
56,"(0.05, 0.1)","(0.4, 0.45)","(0.45, 0.5)",3,0,3,9,0.000265416261169601,0.0,0.000265416261169601
57,"(0.05, 0.1)","(0.45, 0.5)","(0.45, 0.5)",0,0,0,0,0.0,0.0,0.0
58,"(0.05, 0.1)","(0.45, 0.5)","(0.4, 0.45)",1,0,1,1,8.847208705653367e-05,0.0,8.847208705653367e-05
59,"(0.05, 0.1)","(0.5, 0.55)","(0.4, 0.45)",1,5,-4,16,8.847208705653367e-05,0.0004325633705337832,-0.0003440912834772495
60,"(0.05, 0.1)","(0.5, 0.55)","(0.35, 0.4)",1,0,1,1,8.847208705653367e-05,0.0,8.847208705653367e-05
61,"(0.05, 0.1)","(0.55, 0.6)","(0.35, 0.4)",1,0,1,1,8.847208705653367e-05,0.0,8.847208705653367e-05
62,"(0.05, 0.1)","(0.55, 0.6)","(0.3, 0.35)",7,8,-1,1,0.0006193046093957357,0.0006921013928540531,-7.27967834583174e-05
63,"(0.05, 0.1)","(0.6, 0.65)","(0.3, 0.35)",0,0,0,0,0.0,0.0,0.0
64,"(0.05, 0.1)","(0.6, 0.65)","(0.25, 0.3)",0,2,-2,4,0.0,0.00017302534821351327,-0.00017302534821351327
65,"(0.05, 0.1)","(0.65, 0.7)","(0.25, 0.3)",0,0,0,0,0.0,0.0,0.0
66,"(0.05, 0.1)","(0.65, 0.7)","(0.2, 0.25)",0,0,0,0,0.0,0.0,0.0
67,"(0.05, 0.1)","(0.7, 0.75)","(0.2, 0.25)",0,0,0,0,0.0,0.0,0.0
68,"(0.05, 0.1)","(0.7, 0.75)","(0.15, 0.2)",0,2,-2,4,0.0,0.00017302534821351327,-0.00017302534821351327
69,"(0.05, 0.1)","(0.75, 0.8)","(0.15, 0.2)",0,0,0,0,0.0,0.0,0.0
70,"(0.05, 0.1)","(0.75, 0.8)","(0.1, 0.15)",2,1,1,1,0.00017694417411306734,8.651267410675664e-05,9.04315000063107e-05
71,"(0.05, 0.1)","(0.8, 0.85)","(0.1, 0.15)",0,0,0,0,0.0,0.0,0.0
72,"(0.05, 0.1)","(0.8, 0.85)","(0.05, 0.1)",7,0,7,49,0.0006193046093957357,0.0,0.0006193046093957357
73,"(0.05, 0.1)","(0.85, 0.9)","(0.05, 0.1)",0,0,0,0,0.0,0.0,0.0
74,"(0.05, 0.1)","(0.85, 0.9)","(0.0, 0.05)",0,0,0,0,0.0,0.0,0.0
75,"(0.05, 0.1)","(0.9, 0.95)","(0.0, 0.05)",0,0,0,0,0.0,0.0,0.0
76,"(0.1, 0.15)","(0.0, 0.05)","(0.85, 0.9)",0,0,0,0,0.0,0.0,0.0
77,"(0.1, 0.15)","(0.0, 0.05)","(0.8, 0.85)",0,0,0,0,0.0,0.0,0.0
78,"(0.1, 0.15)","(0.05, 0.1)","(0.8, 0.85)",0,0,0,0,0.0,0.0,0.0
79,"(0.1, 0.15)","(0.05, 0.1)","(0.75, 0.8)",0,0,0,0,0.0,0.0,0.0
80,"(0.1, 0.15)","(0.1, 0.15)","(0.75, 0.8)",0,0,0,0,0.0,0.0,0.0
81,"(0.1, 0.15)","(0.1, 0.15)","(0.7, 0.75)",0,0,0,0,0.0,0.0,0.0
82,"(0.1, 0.15)","(0.15, 0.2)","(0.7, 0.75)",0,1,-1,1,0.0,8.651267410675664e-05,-8.651267410675664e-05
83,"(0.1, 0.15)","(0.15, 0.2)","(0.65, 0.7)",0,0,0,0,0.0,0.0,0.0
84,"(0.1, 0.15)","(0.2, 0.25)","(0.65, 0.7)",0,0,0,0,0.0,0.0,0.0
85,"(0.1, 0.15)","(0.2, 0.25)","(0.6, 0.65)",1,0,1,1,8.847208705653367e-05,0.0,8.847208705653367e-05
86,"(0.1, 0.15)","(0.25, 0.3)","(0.6, 0.65)",3,1,2,4,0.000265416261169601,8.651267410675664e-05,0.00017890358706284436
87,"(0.1, 0.15)","(0.25, 0.3)","(0.55, 0.6)",2,1,1,1,0.00017694417411306734,8.651267410675664e-05,9.04315000063107e-05
88,"(0.1, 0.15)","(0.3, 0.35)","(0.55, 0.6)",0,0,0,0,0.0,0.0,0.0
89,"(0.1, 0.15)","(0.3, 0.35)","(0.5, 0.55)",3,3,0,0,0.000265416261169601,0.0002595380223202699,5.878238849331115e-06
90,"(0.1, 0.15)","(0.35, 0.4)","(0.5, 0.55)",7,1,6,36,0.0006193046093957357,8.651267410675664e-05,0.0005327919352889791
91,"(0.1, 0.15)","(0.35, 0.4)","(0.45, 0.5)",3,1,2,4,0.000265416261169601,8.651267410675664e-05,0.00017890358706284436
92,"(0.1, 0.15)","(0.4, 0.45)","(0.45, 0.5)",1,4,-3,9,8.847208705653367e-05,0.00034605069642702654,-0.0002575786093704929
93,"(0.1, 0.15)","(0.4, 0.45)","(0.4, 0.45)",13,3,10,100,0.0011501371317349377,0.0002595380223202699,0.0008905991094146678
94,"(0.1, 0.15)","(0.45, 0.5)","(0.4, 0.45)",3,6,-3,9,0.000265416261169601,0.0005190760446405398,-0.0002536597834709388
95,"(0.1, 0.15)","(0.45, 0.5)","(0.35, 0.4)",11,6,5,25,0.0009731929576218703,0.0005190760446405398,0.00045411691298133047
96,"(0.1, 0.15)","(0.5, 0.55)","(0.35, 0.4)",11,4,7,49,0.0009731929576218703,0.00034605069642702654,0.0006271422611948438
97,"(0.1, 0.15)","(0.5, 0.55)","(0.3, 0.35)",15,7,8,64,0.001327081305848005,0.0006055887187472965,0.0007214925871007086
98,"(0.1, 0.15)","(0.55, 0.6)","(0.3, 0.35)",6,5,1,1,0.000530832522339202,0.0004325633705337832,9.826915180541883e-05
99,"(0.1, 0.15)","(0.55, 0.6)","(0.25, 0.3)",11,13,-2,4,0.0009731929576218703,0.0011246647633878363,-0.00015147180576596602
100,"(0.1, 0.15)","(0.6, 0.65)","(0.25, 0.3)",5,5,0,0,0.0004423604352826683,0.0004325633705337832,9.797064748885101e-06
101,"(0.1, 0.15)","(0.6, 0.65)","(0.2, 0.25)",12,4,8,64,0.001061665044678404,0.00034605069642702654,0.0007156143482513774
102,"(0.1, 0.15)","(0.65, 0.7)","(0.2, 0.25)",0,8,-8,64,0.0,0.0006921013928540531,-0.0006921013928540531
103,"(0.1, 0.15)","(0.65, 0.7)","(0.15, 0.2)",11,11,0,0,0.0009731929576218703,0.0009516394151743231,2.155354244754717e-05
104,"(0.1, 0.15)","(0.7, 0.75)","(0.15, 0.2)",6,3,3,9,0.000530832522339202,0.0002595380223202699,0.0002712945000189321
105,"(0.1, 0.15)","(0.7, 0.75)","(0.1, 0.15)",3,4,-1,1,0.000265416261169601,0.00034605069642702654,-8.063443525742553e-05
106,"(0.1, 0.15)","(0.75, 0.8)","(0.1, 0.15)",0,3,-3,9,0.0,0.0002595380223202699,-0.0002595380223202699
107,"(0.1, 0.15)","(0.75, 0.8)","(0.05, 0.1)",13,1,12,144,0.0011501371317349377,8.651267410675664e-05,0.001063624457628181
108,"(0.1, 0.15)","(0.8, 0.85)","(0.05, 0.1)",5,0,5,25,0.0004423604352826683,0.0,0.0004423604352826683
109,"(0.1, 0.15)","(0.8, 0.85)","(0.0, 0.05)",0,0,0,0,0.0,0.0,0.0
110,"(0.1, 0.15)","(0.85, 0.9)","(0.0, 0.05)",0,0,0,0,0.0,0.0,0.0
111,"(0.15, 0.2)","(0.0, 0.05)","(0.8, 0.85)",0,0,0,0,0.0,0.0,0.0
112,"(0.15, 0.2)","(0.0, 0.05)","(0.75, 0.8)",0,0,0,0,0.0,0.0,0.0
113,"(0.15, 0.2)","(0.05, 0.1)","(0.75, 0.8)",0,3,-3,9,0.0,0.0002595380223202699,-0.0002595380223202699
114,"(0.15, 0.2)","(0.05, 0.1)","(0.7, 0.75)",0,4,-4,16,0.0,0.00034605069642702654,-0.00034605069642702654
115,"(0.15, 0.2)","(0.1, 0.15)","(0.7, 0.75)",0,2,-2,4,0.0,0.00017302534821351327,-0.00017302534821351327
116,"(0.15, 0.2)","(0.1, 0.15)","(0.65, 0.7)",6,11,-5,25,0.000530832522339202,0.0009516394151743231,-0.00042080689283512107
117,"(0.15, 0.2)","(0.15, 0.2)","(0.65, 0.7)",1,1,0,0,8.847208705653367e-05,8.651267410675664e-05,1.959412949777034e-06
118,"(0.15, 0.2)","(0.15, 0.2)","(0.6, 0.65)",2,3,-1,1,0.00017694417411306734,0.0002595380223202699,-8.259384820720255e-05
119,"(0.15, 0.2)","(0.2, 0.25)","(0.6, 0.65)",1,0,1,1,8.847208705653367e-05,0.0,8.847208705653367e-05
120,"(0.15, 0.2)","(0.2, 0.25)","(0.55, 0.6)",7,6,1,1,0.0006193046093957357,0.0005190760446405398,0.0001002285647551959
121,"(0.15, 0.2)","(0.25, 0.3)","(0.55, 0.6)",3,4,-1,1,0.000265416261169601,0.00034605069642702654,-8.063443525742553e-05
122,"(0.15, 0.2)","(0.25, 0.3)","(0.5, 0.55)",25,7,18,324,0.0022118021764133415,0.0006055887187472965,0.001606213457666045
123,"(0.15, 0.2)","(0.3, 0.35)","(0.5, 0.55)",5,14,-9,81,0.0004423604352826683,0.001211177437494593,-0.0007688170022119246
124,"(0.15, 0.2)","(0.3, 0.35)","(0.45, 0.5)",16,12,4,16,0.0014155533929045387,0.0010381520892810796,0.00037740130362345914
125,"(0.15, 0.2)","(0.35, 0.4)","(0.45, 0.5)",5,18,-13,169,0.0004423604352826683,0.0015572281339216196,-0.0011148676986389512
126,"(0.15, 0.2)","(0.35, 0.4)","(0.4, 0.45)",22,24,-2,4,0.0019463859152437405,0.002076304178562159,-0.00012991826331841864
127,"(0.15, 0.2)","(0.4, 0.45)","(0.4, 0.45)",33,15,18,324,0.002919578872865611,0.0012976901116013497,0.0016218887612642612
128,"(0.15, 0.2)","(0.4, 0.45)","(0.35, 0.4)",26,25,1,1,0.0023002742634698754,0.002162816852668916,0.00013745741080095934
129,"(0.15, 0.2)","(0.45, 0.5)","(0.35, 0.4)",22,30,-8,64,0.0019463859152437405,0.0025953802232026994,-0.0006489943079589589
130,"(0.15, 0.2)","(0.45, 0.5)","(0.3, 0.35)",39,23,16,256,0.003450411395204813,0.0019897915044554027,0.0014606198907494102
131,"(0.15, 0.2)","(0.5, 0.55)","(0.3, 0.35)",31,7,24,576,0.0027426346987525435,0.0006055887187472965,0.002137045980005247
132,"(0.15, 0.2)","(0.5, 0.55)","(0.25, 0.3)",33,26,7,49,0.002919578872865611,0.0022493295267756726,0.0006702493460899383
133,"(0.15, 0.2)","(0.55, 0.6)","(0.25, 0.3)",30,7,23,529,0.00265416261169601,0.0006055887187472965,0.002048573892948714
134,"(0.15, 0.2)","(0.55, 0.6)","(0.2, 0.25)",44,11,33,1089,0.003892771830487481,0.0009516394151743231,0.002941132415313158
135,"(0.15, 0.2)","(0.6, 0.65)","(0.2, 0.25)",43,18,25,625,0.0038042997434309476,0.0015572281339216196,0.002247071609509328
136,"(0.15, 0.2)","(0.6, 0.65)","(0.15, 0.2)",35,17,18,324,0.0030965230469786782,0.0014707154598148629,0.0016258075871638153
137,"(0.15, 0.2)","(0.65, 0.7)","(0.15, 0.2)",28,7,21,441,0.0024772184375829428,0.0006055887187472965,0.0018716297188356463
138,"(0.15, 0.2)","(0.65, 0.7)","(0.1, 0.15)",13,10,3,9,0.0011501371317349377,0.0008651267410675664,0.0002850103906673713
139,"(0.15, 0.2)","(0.7, 0.75)","(0.1, 0.15)",16,0,16,256,0.0014155533929045387,0.0,0.0014155533929045387
140,"(0.15, 0.2)","(0.7, 0.75)","(0.05, 0.1)",12,0,12,144,0.001061665044678404,0.0,0.001061665044678404
141,"(0.15, 0.2)","(0.75, 0.8)","(0.05, 0.1)",1,0,1,1,8.847208705653367e-05,0.0,8.847208705653367e-05
142,"(0.15, 0.2)","(0.75, 0.8)","(0.0, 0.05)",1,0,1,1,8.847208705653367e-05,0.0,8.847208705653367e-05
143,"(0.15, 0.2)","(0.8, 0.85)","(0.0, 0.05)",0,0,0,0,0.0,0.0,0.0
144,"(0.2, 0.25)","(0.0, 0.05)","(0.75, 0.8)",0,0,0,0,0.0,0.0,0.0
145,"(0.2, 0.25)","(0.0, 0.05)","(0.7, 0.75)",0,3,-3,9,0.0,0.0002595380223202699,-0.0002595380223202699
146,"(0.2, 0.25)","(0.05, 0.1)","(0.7, 0.75)",0,1,-1,1,0.0,8.651267410675664e-05,-8.651267410675664e-05
147,"(0.2, 0.25)","(0.05, 0.1)","(0.65, 0.7)",0,6,-6,36,0.0,0.0005190760446405398,-0.0005190760446405398
148,"(0.2, 0.25)","(0.1, 0.15)","(0.65, 0.7)",5,9,-4,16,0.0004423604352826683,0.0007786140669608098,-0.0003362536316781415
149,"(0.2, 0.25)","(0.1, 0.15)","(0.6, 0.65)",5,8,-3,9,0.0004423604352826683,0.0006921013928540531,-0.0002497409575713848
150,"(0.2, 0.25)","(0.15, 0.2)","(0.6, 0.65)",1,10,-9,81,8.847208705653367e-05,0.0008651267410675664,-0.0007766546540110327
151,"(0.2, 0.25)","(0.15, 0.2)","(0.55, 0.6)",6,15,-9,81,0.000530832522339202,0.0012976901116013497,-0.0007668575892621477
152,"(0.2, 0.25)","(0.2, 0.25)","(0.55, 0.6)",33,14,19,361,0.002919578872865611,0.001211177437494593,0.001708401435371018
153,"(0.2, 0.25)","(0.2, 0.25)","(0.5, 0.55)",58,34,24,576,0.005131381049278952,0.0029414309196297258,0.0021899501296492267
154,"(0.2, 0.25)","(0.25, 0.3)","(0.5, 0.55)",54,31,23,529,0.004777492701052818,0.002681892897309456,0.002095599803743362
155,"(0.2, 0.25)","(0.25, 0.3)","(0.45, 0.5)",111,63,48,2304,0.009820401663275236,0.005450298468725669,0.004370103194549568
156,"(0.2, 0.25)","(0.3, 0.35)","(0.45, 0.5)",63,43,20,400,0.005573741484561621,0.0037200449865905354,0.0018536964979710855
157,"(0.2, 0.25)","(0.3, 0.35)","(0.4, 0.45)",137,65,72,5184,0.012120675926745112,0.005623323816939182,0.0064973521098059305
158,"(0.2, 0.25)","(0.35, 0.4)","(0.4, 0.45)",60,37,23,529,0.00530832522339202,0.0032009689419499956,0.0021073562814420245
159,"(0.2, 0.25)","(0.35, 0.4)","(0.35, 0.4)",100,51,49,2401,0.008847208705653366,0.004412146379444588,0.004435062326208778
160,"(0.2, 0.25)","(0.4, 0.45)","(0.35, 0.4)",87,40,47,2209,0.007697071573918429,0.0034605069642702655,0.0042365646096481635
161,"(0.2, 0.25)","(0.4, 0.45)","(0.3, 0.35)",119,81,38,1444,0.010528178359727506,0.007007526602647288,0.0035206517570802176
162,"(0.2, 0.25)","(0.45, 0.5)","(0.3, 0.35)",60,39,21,441,0.00530832522339202,0.003373994290163509,0.0019343309332285111
163,"(0.2, 0.25)","(0.45, 0.5)","(0.25, 0.3)",117,78,39,1521,0.010351234185614438,0.006747988580327018,0.0036032456052874197
164,"(0.2, 0.25)","(0.5, 0.55)","(0.25, 0.3)",46,58,-12,144,0.004069716004600548,0.005017735098191885,-0.0009480190935913365
165,"(0.2, 0.25)","(0.5, 0.55)","(0.2, 0.25)",83,61,22,484,0.007343183225692294,0.005277273120512155,0.0020659101051801396
166,"(0.2, 0.25)","(0.55, 0.6)","(0.2, 0.25)",79,32,47,2209,0.00698929487746616,0.0027684055714162123,0.004220889306049948
167,"(0.2, 0.25)","(0.55, 0.6)","(0.15, 0.2)",32,57,-25,625,0.0028311067858090774,0.004931222424085129,-0.0021001156382760514
168,"(0.2, 0.25)","(0.6, 0.65)","(0.15, 0.2)",21,18,3,9,0.0018579138281872068,0.0015572281339216196,0.00030068569426558727
169,"(0.2, 0.25)","(0.6, 0.65)","(0.1, 0.15)",15,11,4,16,0.001327081305848005,0.0009516394151743231,0.00037544189067368196
170,"(0.2, 0.25)","(0.65, 0.7)","(0.1, 0.15)",8,13,-5,25,0.0007077766964522694,0.0011246647633878363,-0.0004168880669355669
171,"(0.2, 0.25)","(0.65, 0.7)","(0.05, 0.1)",7,8,-1,1,0.0006193046093957357,0.0006921013928540531,-7.27967834583174e-05
172,"(0.2, 0.25)","(0.7, 0.75)","(0.05, 0.1)",3,0,3,9,0.000265416261169601,0.0,0.000265416261169601
173,"(0.2, 0.25)","(0.7, 0.75)","(0.0, 0.05)",1,3,-2,4,8.847208705653367e-05,0.0002595380223202699,-0.00017106593526373622
174,"(0.2, 0.25)","(0.75, 0.8)","(0.0, 0.05)",0,0,0,0,0.0,0.0,0.0
175,"(0.25, 0.3)","(0.0, 0.05)","(0.7, 0.75)",0,0,0,0,0.0,0.0,0.0
176,"(0.25, 0.3)","(0.0, 0.05)","(0.65, 0.7)",0,0,0,0,0.0,0.0,0.0
177,"(0.25, 0.3)","(0.05, 0.1)","(0.65, 0.7)",0,2,-2,4,0.0,0.00017302534821351327,-0.00017302534821351327
178,"(0.25, 0.3)","(0.05, 0.1)","(0.6, 0.65)",3,0,3,9,0.000265416261169601,0.0,0.000265416261169601
179,"(0.25, 0.3)","(0.1, 0.15)","(0.6, 0.65)",5,1,4,16,0.0004423604352826683,8.651267410675664e-05,0.00035584776117591164
180,"(0.25, 0.3)","(0.1, 0.15)","(0.55, 0.6)",6,6,0,0,0.000530832522339202,0.0005190760446405398,1.175647769866223e-05
181,"(0.25, 0.3)","(0.15, 0.2)","(0.55, 0.6)",18,8,10,100,0.0015924975670176058,0.0006921013928540531,0.0009003961741635528
182,"(0.25, 0.3)","(0.15, 0.2)","(0.5, 0.55)",21,33,-12,144,0.0018579138281872068,0.0028549182455229693,-0.0009970044173357624
183,"(0.25, 0.3)","(0.2, 0.25)","(0.5, 0.55)",39,61,-22,484,0.003450411395204813,0.005277273120512155,-0.001826861725307342
184,"(0.25, 0.3)","(0.2, 0.25)","(0.45, 0.5)",55,96,-41,1681,0.004865964788109352,0.008305216714248637,-0.003439251926139285
185,"(0.25, 0.3)","(0.25, 0.3)","(0.45, 0.5)",107,59,48,2304,0.009466513315049102,0.005104247772298642,0.004362265542750461
186,"(0.25, 0.3)","(0.25, 0.3)","(0.4, 0.45)",195,130,65,4225,0.017252056976024065,0.011246647633878363,0.006005409342145702
187,"(0.25, 0.3)","(0.3, 0.35)","(0.4, 0.45)",232,90,142,20164,0.02052552419711581,0.007786140669608098,0.012739383527507711
188,"(0.25, 0.3)","(0.3, 0.35)","(0.35, 0.4)",313,96,217,47089,0.027691763248695038,0.008305216714248637,0.0193865465344464
189,"(0.25, 0.3)","(0.35, 0.4)","(0.35, 0.4)",264,113,151,22801,0.023356630982924887,0.0097759321740635,0.013580698808861386
190,"(0.25, 0.3)","(0.35, 0.4)","(0.3, 0.35)",459,182,277,76729,0.04060868795894895,0.015745306687429707,0.024863381271519245
191,"(0.25, 0.3)","(0.4, 0.45)","(0.3, 0.35)",309,119,190,36100,0.027337874900468902,0.01029500821870404,0.017042866681764864
192,"(0.25, 0.3)","(0.4, 0.45)","(0.25, 0.3)",387,107,280,78400,0.034238697690878526,0.009256856129422961,0.024981841561455567
193,"(0.25, 0.3)","(0.45, 0.5)","(0.25, 0.3)",241,83,158,24964,0.021321772980624612,0.007180551950860801,0.014141221029763812
194,"(0.25, 0.3)","(0.45, 0.5)","(0.2, 0.25)",169,116,53,2809,0.01495178271255419,0.01003547019638377,0.00491631251617042
195,"(0.25, 0.3)","(0.5, 0.55)","(0.2, 0.25)",92,90,2,4,0.008139432009201097,0.007786140669608098,0.00035329133959299906
196,"(0.25, 0.3)","(0.5, 0.55)","(0.15, 0.2)",45,44,1,1,0.0039812439175440145,0.0038065576606972924,0.00017468625684672213
197,"(0.25, 0.3)","(0.55, 0.6)","(0.15, 0.2)",29,45,-16,256,0.002565690524639476,0.003893070334804049,-0.0013273798101645726
198,"(0.25, 0.3)","(0.55, 0.6)","(0.1, 0.15)",17,13,4,16,0.0015040254799610724,0.0011246647633878363,0.0003793607165732361
199,"(0.25, 0.3)","(0.6, 0.65)","(0.1, 0.15)",5,12,-7,49,0.0004423604352826683,0.0010381520892810796,-0.0005957916539984112
200,"(0.25, 0.3)","(0.6, 0.65)","(0.05, 0.1)",0,5,-5,25,0.0,0.0004325633705337832,-0.0004325633705337832
201,"(0.25, 0.3)","(0.65, 0.7)","(0.05, 0.1)",1,1,0,0,8.847208705653367e-05,8.651267410675664e-05,1.959412949777034e-06
202,"(0.25, 0.3)","(0.65, 0.7)","(0.0, 0.05)",0,1,-1,1,0.0,8.651267410675664e-05,-8.651267410675664e-05
203,"(0.25, 0.3)","(0.7, 0.75)","(0.0, 0.05)",0,0,0,0,0.0,0.0,0.0
204,"(0.3, 0.35)","(0.0, 0.05)","(0.65, 0.7)",0,0,0,0,0.0,0.0,0.0
205,"(0.3, 0.35)","(0.0, 0.05)","(0.6, 0.65)",0,0,0,0,0.0,0.0,0.0
206,"(0.3, 0.35)","(0.05, 0.1)","(0.6, 0.65)",1,1,0,0,8.847208705653367e-05,8.651267410675664e-05,1.959412949777034e-06
207,"(0.3, 0.35)","(0.05, 0.1)","(0.55, 0.6)",2,0,2,4,0.00017694417411306734,0.0,0.00017694417411306734
208,"(0.3, 0.35)","(0.1, 0.15)","(0.55, 0.6)",2,2,0,0,0.00017694417411306734,0.00017302534821351327,3.918825899554068e-06
